#{"t_start": 1699545770.8127706, "env_id": "modulatingEnv-v1"}
r,l,t
-1312.278478,203,0.847641
-839.714818,257,1.321386
-1036.807382,214,1.727284
-1363.76155,257,2.225976
-1048.22154,406,2.89852
-2034.68075,361,3.503511
-1433.190746,304,4.024814
-1299.555091,237,4.465562
-1387.361478,248,4.896486
-1443.338313,250,5.335321
-1729.741019,389,5.974624
-1196.141503,247,6.414336
-1497.850041,468,7.168839
-1637.662576,276,7.659224
-1209.516586,267,8.145437
-1177.802115,326,8.692194
-1269.274855,305,9.21745
-1470.999476,273,9.697308
-1285.981023,375,10.313181
-1570.354298,294,10.831025
-1561.220421,266,11.303225
-1759.473362,314,11.836372
-1141.958257,258,12.301169
-1712.049821,268,12.770642
-1445.023759,291,13.265128
-1304.335129,233,13.716418
-2044.089194,441,14.490335
-1085.392214,236,14.92022
-1448.977379,257,15.384835
-1041.50206,287,15.869176
-1237.825028,225,16.28281
-1064.437682,241,16.709316
-1230.727674,247,17.14502
-669.125483,313,17.670523
-1327.839907,254,18.131378
-955.814764,293,18.626352
-1941.446968,423,19.306618
-761.258068,328,19.85324
-1580.131314,256,20.306624
-1187.916731,355,20.899903
-1171.261219,243,21.32854
-1505.545945,250,21.763979
-1251.725789,285,22.248483
-1232.693359,244,22.699959
-1374.706139,260,23.187021
-1508.575304,273,23.678122
-1117.44462,515,24.485371
-1332.108376,231,24.904204
-1156.77799,302,25.448256
-1292.461376,380,26.060663
-1967.041602,406,26.742796
-1599.309,420,27.430013
-1413.797691,246,27.875674
-1489.992008,301,28.419959
-1795.53152,292,29.205229
-1374.451121,264,29.708968
-1187.776452,239,30.159805
-1782.006868,281,30.665099
-1411.37542,292,31.183692
-1467.448636,240,31.615714
-763.841175,244,32.057475
-1149.846155,267,32.539932
-731.891208,266,33.039217
-1400.421153,635,33.99789
-1252.622339,554,34.850204
-1165.157901,284,35.344551
-1821.765877,335,35.902667
-1025.084873,284,36.397409
-1148.572473,223,36.815883
-1497.858604,324,37.353671
-1248.593627,269,37.82361
-1415.166718,537,38.636086
-931.244503,272,39.114958
-1724.420451,390,39.777508
-1263.428988,244,40.222827
-2102.629249,397,40.852712
-1229.325703,242,41.2839
-814.343938,344,41.851402
-1474.253282,350,42.416114
-1408.441881,290,42.913141
-1204.624524,377,43.542755
-1614.387216,301,44.072487
-1411.548978,344,44.646602
-1334.374081,443,45.355025
-1698.033554,275,45.87862
-1331.254823,448,46.614954
-1107.204783,227,47.05461
-1383.813501,300,47.586465
-1666.920334,319,48.18835
-1212.772659,240,48.662946
-1050.9591,241,49.139052
-1043.527511,274,49.651382
-2280.883222,476,50.400286
-1413.420376,278,50.895191
-2060.997026,452,51.636049
-1405.327606,432,52.32629
-1374.371617,257,52.79265
-1463.764738,290,53.335549
-1465.147777,303,53.888112
-1459.185687,506,54.709272
-1044.68495,251,55.184085
-1615.663433,300,55.783697
-1116.382012,256,56.385432
-1409.883606,340,56.975638
-966.740405,342,57.562329
-684.570957,288,58.314217
-869.338963,321,58.902253
-1216.643778,221,59.345352
-1913.313418,378,59.994399
-1330.316941,304,60.5652
-1439.41966,285,61.089428
-1450.803135,269,61.579686
-1025.337423,494,62.358377
-792.128443,289,62.850445
-1522.36584,274,63.339003
-2009.646546,324,63.89731
-1107.426751,240,64.335043
-1499.686415,278,64.831333
-1211.771342,203,65.237788
-1381.759681,243,65.700318
-1950.298952,460,66.456616
-1571.517562,294,66.959805
-1349.871845,238,67.414933
-668.977413,300,67.94853
10.423698,591,68.852594
-1288.668917,313,69.41034
-1120.928223,283,69.900834
-1408.961767,270,70.382274
-1372.287479,295,70.890429
-1541.052886,578,71.782753
-1292.613663,239,72.211009
-1429.915775,352,72.802507
-1125.884229,300,73.310051
-1639.259984,294,73.829865
-1529.298066,374,74.444002
-1714.982042,298,74.949269
-934.686794,333,75.527411
-1506.793887,252,76.008038
-940.947996,325,76.560924
-447.432374,282,77.054156
-1648.62471,277,77.540504
