#{"t_start": 1699541639.2852578, "env_id": "modulatingEnv-v1"}
r,l,t
-1264.575023,225,0.850414
-1504.978804,304,1.374994
-887.962578,443,2.037734
-1400.717672,267,2.499165
-1761.64081,409,3.170254
-1160.799586,274,3.647062
-1956.301661,327,4.177926
-1275.799974,272,4.637314
-1519.877635,233,5.061506
-1472.352929,277,5.540185
-1442.0527,240,5.968901
-1724.618946,473,6.730729
-1711.8104,463,7.498652
-1733.59435,352,8.082198
-1002.824078,231,8.480395
-1467.124259,338,9.004344
-1727.381126,327,9.523757
-1789.484776,263,9.968274
-1149.436053,268,10.416718
-1246.961804,276,10.873395
-1339.457369,331,11.389701
-1622.902181,237,11.798477
-1288.574905,296,12.270012
-1052.034668,241,12.671726
-1156.593129,351,13.231254
-1195.22465,260,13.677665
-1332.923505,285,14.161168
-992.505243,233,14.577619
-1352.200074,307,15.080819
-1119.548659,298,15.556304
-1796.494068,290,16.031712
-1348.816514,268,16.479349
-1606.893243,355,17.043846
-1202.596038,305,17.538804
-1059.20361,239,17.95046
-1325.643087,239,18.355761
-1349.204492,236,18.758848
-1328.770544,272,19.216719
-1153.55237,281,19.682831
-1434.890375,395,20.28786
-1611.675535,293,20.765895
-1126.408239,208,21.145088
-1039.547532,250,21.570065
-1665.28295,257,22.012089
-936.6979,325,22.53059
-1142.925166,358,23.094241
-1152.502736,363,23.655041
-1671.875236,430,24.318276
-1130.40413,268,24.767961
-1240.707831,285,25.234345
-1425.467639,236,25.644312
-1377.034111,358,26.204326
-845.368698,277,26.661043
-1706.861219,377,27.246563
-1206.711124,276,28.078541
-1353.672532,272,28.534727
-1408.18071,305,29.041924
-1062.194107,436,29.700602
-1237.730902,256,30.145172
-1381.444803,278,30.610829
-1420.039536,259,31.059909
-1503.712349,444,31.743798
-1446.349198,241,32.158109
-1297.365713,338,32.693091
-1175.210277,356,33.264701
-948.454602,269,33.719811
-1270.616123,272,34.179816
-1547.334041,246,34.596262
-1283.514455,244,35.015207
-2063.955949,455,35.710809
-1066.731365,296,36.187163
-1184.891551,276,36.648217
-1006.847802,250,37.066724
-1236.136393,235,37.477149
-1366.407018,278,37.940213
-1024.483227,236,38.350657
-1438.946915,274,38.81056
-1442.853034,332,39.342578
-1423.046843,346,39.888205
-1293.640191,232,40.294573
-475.210206,283,40.761127
-1680.251853,318,41.28011
-962.773946,316,41.794746
-1198.143386,237,42.203401
-1276.177172,235,42.612154
-1216.642482,291,43.086839
-1890.100655,394,43.702672
-1809.439084,424,44.356314
-1306.00721,236,44.766125
-1267.977479,339,45.300259
-1675.711509,266,45.754288
-934.59591,317,46.268447
-1286.818744,241,46.679477
-1314.992192,329,47.203251
-1436.881911,258,47.649567
-1304.480581,244,48.065148
-1422.995376,264,48.513218
-1200.312563,220,48.909085
-1135.22335,289,49.383284
-1321.378369,268,49.839674
-1254.581586,312,50.350606
-1025.300082,270,50.809265
-1105.612596,203,51.18464
-1932.10292,324,51.710266
-1291.176333,236,52.120021
-1064.155399,269,52.572131
-1249.942285,250,52.995008
-1094.514083,366,53.573576
-1642.109001,300,54.0581
-1191.01938,228,54.463459
