#{"t_start": 1699548243.2797384, "env_id": "modulatingEnv-v1"}
r,l,t
-1634.62777,278,0.93638
-1729.25436,281,1.420496
-2190.914097,398,2.032355
-1095.768214,244,2.455439
-1490.054687,355,3.038373
-1980.015032,397,3.66548
-2635.675257,612,4.60231
-610.872718,263,5.064187
-2274.831422,378,5.674025
-1317.570967,249,6.117792
-1720.939031,597,7.000244
-1834.49426,265,7.463581
-1512.972132,241,7.884563
-1438.117705,214,8.27962
-1446.41464,283,8.763278
-1112.881185,235,9.178966
-1606.028274,264,9.64321
-1394.440181,266,10.111765
-1560.525888,265,10.573594
-1358.369396,271,11.037463
-1254.85745,250,11.48284
-1326.632459,306,11.997525
-1565.100217,264,12.455487
-1242.678372,249,12.88406
-1188.659041,242,13.305246
-967.323733,382,13.915735
-2269.868703,565,14.764508
-1755.448359,444,15.462876
-909.049985,309,15.991749
-1209.154318,263,16.453506
-2049.513726,333,16.997356
-1516.795206,363,17.598633
-719.995432,315,18.122393
-1308.677703,260,18.581062
-1747.226859,276,19.068601
-1342.431095,263,19.549449
-1636.956403,264,20.020895
-1180.556372,235,20.438939
-1273.414729,244,20.884497
-1140.122092,272,21.354883
-1314.377158,278,21.831044
-1716.138291,496,22.572646
-2025.418291,350,23.136503
-1243.474274,323,23.69668
-1465.036533,314,24.275791
-1932.770082,330,24.870059
-1037.890521,263,25.365241
-1374.254464,257,25.859314
-1730.507521,252,26.347624
-1603.63574,318,26.969198
-1493.627716,300,27.553859
-1668.750928,251,28.046497
-1278.746742,232,28.801882
-1208.139959,248,29.267675
-1447.322915,219,29.703846
-1149.488497,271,30.21948
-1709.054611,317,30.778384
-1340.064117,262,31.251869
-1377.352638,249,31.707309
-1593.56445,275,32.196789
-1357.62846,223,32.661
-1622.226523,420,33.369765
-1902.770625,329,33.937057
-2099.453547,425,34.652678
-1059.797164,329,35.2419
-1873.413205,293,35.742546
-2019.459929,398,36.398386
-1412.586162,303,36.931695
-1231.694645,217,37.34232
-1392.105014,264,37.816807
-1683.251298,272,38.30238
-1462.920736,255,38.771608
-1943.12605,350,39.335757
-1556.624512,269,39.831325
-1230.084236,266,40.310213
-1586.317547,254,40.77035
-1280.433598,248,41.210231
