#{"t_start": 1699538952.9386075, "env_id": "modulatingEnv-v1"}
r,l,t
-1391.59393,261,0.88384
-1641.908974,292,1.376434
-896.908748,409,2.012707
-1334.252907,293,2.48624
-1525.376261,302,2.987889
-1376.552606,276,3.447397
-1441.062164,322,3.961639
-1116.043659,257,4.405374
-1479.55541,291,4.881205
-1370.585304,303,5.386678
-850.40847,276,5.851645
-1132.477468,425,6.512641
-1341.370592,278,6.98694
-1244.582166,309,7.497147
-1294.064562,269,7.953244
-1173.924363,268,8.412196
-1292.117312,382,9.005248
-1352.09412,449,9.678971
-1350.751402,281,10.145345
-1083.30413,320,10.661358
-1522.800752,269,11.114953
-1916.275142,368,11.691289
-1314.287172,535,12.476758
-1244.095955,258,12.927137
-1017.080218,464,13.630341
-1436.65041,259,14.074574
-1311.811766,446,14.744653
-1359.041175,435,15.405643
-2039.173475,422,16.057372
-1279.31687,300,16.54203
-1485.591678,281,17.008638
-1123.394571,222,17.403692
-1532.896979,313,17.914425
-1383.720724,311,18.422534
-1433.298295,259,18.867933
-1322.55735,267,19.320696
-1412.348318,232,19.724174
-1327.587496,239,20.133797
-1321.000494,251,20.569004
-1336.674217,403,21.195896
-2187.83144,394,21.79947
-992.474644,414,22.440672
-1313.167102,260,22.888358
-1382.998623,262,23.336576
-1503.729652,254,23.776854
-1489.15382,278,24.237355
-970.489442,415,24.878667
-1591.228162,263,25.325147
-1865.727637,393,25.92956
-1332.360909,251,26.3661
-1849.876794,405,27.373595
-1700.243072,313,27.915218
-1552.571204,262,28.368452
-1358.798945,291,28.847611
-1911.063601,446,29.521754
-1091.106795,313,30.038069
-1148.382528,419,30.681246
-1392.610417,253,31.12466
-1580.061909,244,31.543795
-1479.182712,277,32.009969
-1213.55858,445,32.680711
-1987.987008,422,33.337234
-1363.395257,401,33.968208
-1323.372692,262,34.41742
-1918.39532,426,35.076667
-1350.565812,231,35.483217
-1231.990111,254,35.92916
-1056.986935,241,36.34351
-1648.01634,281,36.810863
-1506.61861,363,37.38964
-1460.767766,294,37.870886
-1518.970352,456,38.564221
-1392.041635,261,39.016144
-1619.521138,420,39.668196
-1195.55985,260,40.118663
-1381.195506,280,40.58851
-1253.436155,262,41.039499
-1347.163235,285,41.512819
-1530.609841,274,41.972501
-885.207255,272,42.428823
-1911.750081,366,43.009016
-978.884799,279,43.476224
-1152.358779,267,43.930712
-2080.097671,379,44.523744
-1583.078745,325,45.051155
-1752.60582,286,45.526303
-1434.096577,357,46.101006
-1702.642744,343,46.638193
-1638.221771,382,47.230757
-1270.424952,266,47.687331
-2041.832533,557,48.504192
-2215.752628,592,49.348261
-1127.074646,463,50.060331
-2001.251359,417,50.712333
-1422.475231,243,51.131523
-1331.333242,270,51.591655
-1337.347895,246,52.013546
-1691.566473,444,52.671601
-988.710231,302,53.173448
-2126.585869,396,54.151529
-1718.774481,467,54.857663
-1718.83562,428,55.515633
-1378.480053,296,55.994964
-1316.285253,461,56.697678
-1488.461212,463,57.401809
-1337.485498,231,57.809358
-989.463449,298,58.29111
-1651.958762,404,58.927904
-1174.718004,255,59.373761
-1204.552339,280,59.841305
-1205.63531,320,60.365217
-1163.282718,267,60.822479
-994.311027,306,61.330111
-1277.674393,421,61.986131
-1259.458639,310,62.495027
-1349.575896,306,63.003731
-1083.961945,279,63.467399
-1511.134599,354,64.033797
-1001.062878,334,64.564618
-1493.739904,393,65.170904
-1315.228362,268,65.628093
-2010.414912,362,66.204879
-1556.924228,332,66.738653
-1420.531704,263,67.190583
-1155.254607,235,67.604992
-1289.497462,366,68.187263
-986.033798,286,68.660131
-1290.696751,234,69.068449
-1490.50725,303,69.575308
-926.96803,273,70.034666
-1499.182835,263,70.488483
-1089.584974,258,70.930099
-1298.9521,294,71.404662
-1093.652485,392,72.010993
-1539.138609,281,72.47882
-1598.879273,294,72.957149
-2061.458088,509,73.725065
-1492.014419,446,74.401119
-821.304709,463,75.105969
-1551.777513,277,75.572495
-1531.350269,445,76.245989
-2030.2997,433,76.908542
-1221.563376,321,77.428191
-1593.713922,287,77.905175
-1102.321697,295,78.386509
-1285.019778,244,78.803643
-1311.499813,297,79.287289
-1358.369843,234,79.700863
-1329.816957,276,80.188037
-1736.25215,470,81.287844
-1149.653056,255,81.756099
-1333.324093,242,82.181843
-1150.718764,262,82.632407
-1797.425805,428,83.295806
-1279.438304,237,83.707954
-1503.106213,292,84.190924
-932.315965,413,84.835045
-1014.428483,333,85.368805
-1146.41324,243,85.787496
-1118.658672,372,86.376892
-1410.282982,273,86.842743
-1434.68025,284,87.312629
-1277.776885,475,88.031578
-855.30838,366,88.612967
-2204.129829,365,89.187267
-1328.318292,223,89.588157
-1482.987132,247,90.013127
-1206.002288,325,90.540475
-1307.050276,338,91.076287
-958.279198,325,91.602857
-1070.062113,218,91.997591
-1296.381664,294,92.47945
-1310.607528,283,92.94967
-1324.309743,324,93.475042
-1626.021296,280,93.944273
-1271.503611,417,94.597771
-1344.834574,284,95.07173
-1258.161437,283,95.54319
-1441.455933,273,96.007695
-1651.780002,380,96.599815
-1435.004855,258,97.048279
-1305.507723,278,97.512675
-1565.053228,464,98.217798
-1031.862529,274,98.683688
-1228.027366,293,99.1628
-1355.810286,253,99.60696
-1268.952872,357,100.182214
-1378.350656,250,100.606319
-1222.48477,238,101.021423
-1425.273692,263,101.472867
-1084.08301,262,101.927922
-1388.363283,275,102.391847
-1404.324656,264,102.842208
-1201.934366,254,103.287024
-1118.627487,284,103.757989
-1255.123535,329,104.288914
-1572.579569,260,104.738971
-1407.18548,269,105.19637
-1142.644125,310,105.708466
-1134.626101,265,106.162768
-1891.374722,608,107.060673
-737.390068,316,107.581539
-1358.003918,291,108.44238
-1466.158735,245,108.866278
-1383.31607,252,109.313688
-1406.830045,272,109.778413
-1247.55403,305,110.292352
-1537.607502,269,110.753738
-1436.948691,258,111.203042
-1024.555443,375,111.796454
-1299.557937,256,112.244324
-1302.880589,448,112.925775
-865.072407,521,113.703093
-1245.461729,285,114.179463
-1358.725309,324,114.707824
-1498.928398,300,115.195569
-1304.182979,265,115.650448
-1354.322663,261,116.104816
-1359.67569,265,116.560385
-1730.83579,403,117.197875
-1269.266729,328,117.726045
-875.66327,297,118.209825
-1147.509031,293,118.691038
-1092.856222,239,119.105569
-2010.448984,470,119.81474
-1253.873555,258,120.264944
-1259.680081,261,120.715665
-1137.808723,315,121.235592
-1302.930429,285,121.707767
-1488.368626,258,122.160173
-1208.246913,286,122.636126
-1399.05455,361,123.212545
-1185.584639,272,123.676559
-1183.586305,263,124.129757
-1265.722131,274,124.594526
-1161.536452,282,125.065191
-1097.947729,320,125.585476
-1117.578875,242,126.005736
-1475.683157,307,126.51473
-1436.279572,276,126.980306
-1381.96074,264,127.434931
-1339.991396,294,127.913687
-1443.256754,305,128.421134
-1553.706594,278,128.888951
-706.750343,554,129.716789
-1144.348304,240,130.132356
-1189.834408,233,130.543121
-1754.212783,412,131.189943
-1561.498249,225,131.591289
-1134.784165,357,132.163216
-1384.578008,433,132.829571
-1841.010508,434,133.497169
-1011.942645,270,133.951952
