#{"t_start": 1700165635.748243, "env_id": "modulatingEnv-v1"}
r,l,t
-1745.829966,211,0.831461
-1625.823874,241,1.263821
-1453.577948,220,1.662601
-1681.657446,211,2.046354
-1876.921833,178,2.383615
-1838.861037,289,2.860486
-1440.954322,215,3.255454
-1639.160615,223,3.653477
-1317.744925,219,4.045628
-1719.498546,212,4.434978
-1462.51364,271,4.89432
-1554.388472,286,5.369305
-1594.119589,165,5.688932
-1377.977489,160,6.007502
-1620.457274,195,6.361916
-1458.276145,174,6.694476
-1752.129163,258,7.133789
-1628.298032,208,7.519461
-1766.01704,200,7.877786
-1609.093783,193,8.225899
-1197.256032,246,8.63923
-1747.917233,250,9.068101
-1573.594145,154,9.379739
-1504.0674,203,9.755741
-1475.68006,205,10.139096
-1735.080569,195,10.492822
-1166.082105,144,10.781099
-1806.639353,250,11.201935
-1869.145656,205,11.587468
-1617.916557,227,11.989115
-1625.570845,207,12.370219
-1257.98704,322,12.898526
-1701.196293,192,13.250673
-1618.563006,164,13.573761
-1603.831418,185,13.915759
-1631.710594,225,14.314032
-1503.322107,170,14.641652
-1576.699958,215,15.025633
-1480.522019,191,15.371826
-1267.720501,268,15.822973
-1026.930334,355,16.388813
-1849.383148,219,16.779955
-1510.792164,171,17.107937
-1760.249554,270,17.566375
-1434.890463,216,17.956371
-1845.753771,480,18.665229
-1712.112231,223,19.059324
-1473.832042,211,19.443794
-1561.762405,258,19.891298
-1739.252511,237,20.300318
-2000.014271,287,20.774919
-1786.142399,261,21.22893
-1814.076438,280,21.695155
-1751.633509,335,22.226659
-1335.829794,275,22.684402
-1820.546766,239,23.093644
-2084.697708,274,23.552895
-1416.183237,179,23.891227
-1593.273405,219,24.285237
-1668.743045,229,24.687723
-1950.846273,257,25.130058
-1927.566694,206,25.512367
-1475.123014,173,25.84418
-1374.554579,232,26.251782
-2051.45883,223,26.652812
-1611.303479,208,27.035828
-1922.551041,221,27.436573
-1407.955413,207,27.815222
-1852.074012,272,28.272929
-1274.62054,254,28.714771
-1651.940287,190,29.06353
-1721.054153,208,29.44675
-1723.027284,225,29.844296
-1589.107878,260,30.297674
-1502.677297,277,30.759976
-1745.433975,251,31.202734
-1639.244603,215,31.589358
-2673.956638,325,32.115775
-1602.056993,240,32.528554
-1760.015338,267,32.987173
-1553.456856,166,33.311799
-1820.824244,258,33.757139
-1932.683132,284,34.224643
-1720.609706,236,34.635599
-1787.836285,419,35.272674
-2588.765484,377,35.86571
-1614.34588,205,36.24556
-2011.166804,279,36.706084
-1447.508383,257,37.140871
-1827.082315,206,37.520372
-1309.077702,145,37.80625
-1388.986413,265,38.253689
-1399.13795,228,38.654701
-1523.569761,218,39.049532
-1546.598861,187,39.392381
-1603.385037,297,39.874945
-1363.216736,154,40.184169
-1507.132833,169,40.510674
-1645.26972,226,40.914797
-1801.383395,216,41.305973
-1235.711867,139,41.589289
-1801.114061,310,42.091218
-1238.04849,278,42.548613
-1242.629433,157,42.864684
-1432.226672,190,43.209622
-1708.275976,244,43.631009
-1197.024479,141,43.915349
-1220.871983,267,44.363058
-1707.204902,241,44.778079
-1591.098838,213,45.167174
-1283.618592,159,45.485598
-1603.409286,283,45.95365
-1342.384996,182,46.292995
-1212.608363,143,46.576608
-1789.812788,253,47.020986
-1481.383847,252,47.464171
-1716.377502,190,47.811627
-2513.546759,346,48.358316
-1692.333227,250,48.773143
-1376.658517,150,49.065706
-1478.156593,167,49.390915
-1360.255785,142,49.675672
-1372.184612,257,50.112764
-1746.391964,223,50.510081
-1504.568792,171,50.837755
-1664.377677,222,51.231516
-1462.059511,199,51.588402
-1397.208963,197,51.945037
-1727.385771,351,52.514211
-1514.043139,284,52.975689
-1524.433518,169,53.312095
-2196.147731,301,53.806013
-1785.524105,255,54.252821
-1450.124278,199,54.612258
-1383.189294,213,55.00039
-1330.476633,197,55.355912
-1667.263851,251,55.796961
-1856.581994,266,56.239756
-1872.582354,261,56.685788
-2028.377709,243,57.098759
-1488.833793,233,57.505657
-1727.504991,362,58.073825
-1733.07506,296,58.553159
-1260.902885,222,58.935895
-1890.626803,251,59.382977
-1458.871061,181,59.719403
-1844.322548,238,60.132115
-1585.284062,218,60.52562
-1641.284657,266,60.976813
-1560.702327,175,61.310902
-1729.094666,314,61.811552
-1530.09737,238,62.22348
-1827.486095,451,62.903301
-1574.727041,260,63.352288
-2117.675998,411,63.982505
-1675.46049,217,64.372474
-1757.416333,232,64.776518
-1650.928348,221,65.171271
-1546.771989,288,65.632141
-1601.974782,238,66.03385
-1448.441074,274,66.489256
-1535.579079,243,66.904722
-1381.08563,255,67.340084
-1844.742728,298,67.826273
-3659.038674,606,68.714773
-1607.594935,274,69.165822
-1632.276238,203,69.54122
-1400.921195,195,69.89837
-1675.196973,271,70.357318
-1743.217802,241,70.770914
-1963.588993,424,71.424411
-1848.307965,263,71.877014
-1323.309685,147,72.162883
-1887.690747,288,72.623569
-1273.568803,159,72.939662
-1504.377015,181,73.28022
-1552.477966,226,73.680841
-1313.270101,245,74.101649
-1835.851553,254,74.54511
-1561.13666,164,74.868242
-1657.117504,199,75.224603
-1582.863643,193,75.577763
-2015.30939,316,76.098507
-1638.257388,243,76.512472
-1345.691761,228,76.907075
-1390.392328,140,77.191966
-2076.224989,245,77.608525
-1546.843308,256,78.046342
-1357.922083,151,78.357265
-1669.009162,299,78.831823
-1479.675215,181,79.170617
-1898.376776,282,79.628245
-1431.963149,177,79.964286
-1631.174708,253,80.406431
-1672.952386,220,80.799927
-1665.071149,249,81.224848
-1940.949076,271,81.680154
-1448.239497,233,82.087877
-1785.879189,255,82.530552
-1292.988534,243,82.945373
-1520.899894,238,83.354867
-1387.042579,296,83.828004
-1430.372273,217,84.218327
-1622.088795,179,84.556071
-1283.334419,149,84.846251
-1878.184755,251,85.285741
-1951.543359,447,85.939121
-1373.010675,168,86.263299
-2700.030763,396,86.873829
-1691.153373,215,87.262039
-1429.559824,204,87.641274
-1273.987301,145,87.928799
-1598.353055,209,88.312971
-1575.563706,262,88.764776
-1480.305866,159,89.080612
-1414.567521,171,89.409007
-1505.585634,189,89.755176
-1553.506467,193,90.109969
-1519.633211,245,90.527833
-1468.730655,256,90.95938
-1227.065113,235,91.364935
-1363.299136,224,91.75439
-1405.050135,196,92.116885
-1535.765471,208,92.50297
-1585.80179,196,92.854439
-1807.524732,269,93.31487
-1636.750122,216,93.702502
-1536.045314,186,94.045494
-1449.313754,181,94.386949
-1548.017566,242,94.802282
-1337.839667,249,95.225621
-1076.169371,334,95.748224
-1661.861724,328,96.282263
-1532.670143,172,96.611538
-1628.009508,236,97.011103
-1713.580005,237,97.422478
-1640.337464,326,97.950581
-1555.895071,314,98.465243
-1749.630841,269,98.921527
-1528.636277,197,99.267955
-1673.150479,213,99.654793
-1357.13617,217,100.043149
-1374.739296,198,100.400304
-1260.647386,140,100.68364
-1806.109493,247,101.102415
-1652.454376,273,101.556023
-1829.09589,325,102.084287
-1921.676224,247,102.50495
-1359.24171,225,102.906332
-1760.495694,261,103.35707
-1779.829905,231,103.761941
-1454.543616,320,104.283661
-1833.227625,229,104.684652
-2081.536628,256,105.127717
-1531.796419,213,105.517059
-1553.621287,198,105.873324
-1056.777142,287,106.32931
-1979.455789,337,106.864051
-2667.333458,338,107.400379
-2040.251543,247,107.818621
-1396.459337,244,108.240144
-1613.576581,182,108.58149
-1705.728652,214,108.967434
-1601.988112,177,109.302611
-1597.585006,260,109.749559
-2288.977554,377,110.350924
-1242.133925,168,110.677517
-1642.712794,188,111.021305
-1269.505524,244,111.439828
-1624.296758,209,111.821743
-1499.098068,189,112.168614
-1959.799644,334,112.715073
-1748.648504,217,113.110885
-1873.861037,235,113.525131
-1349.633872,223,113.915487
-1586.270775,302,114.952292
-1445.071621,236,115.368367
-1790.837464,256,115.82329
-1699.393001,369,116.396041
-1767.0913,204,116.780678
-2107.440808,308,117.302033
-1541.085181,202,117.686702
-1487.136804,186,118.040199
-1465.509164,187,118.409296
-2302.013094,343,118.957241
-1829.975373,238,119.373787
-2339.218335,345,119.924008
-1310.780915,239,120.329874
-1794.447386,232,120.745341
-1704.985436,208,121.133542
-1590.979024,239,121.551712
-1708.692273,232,121.96322
-1608.494474,227,122.370764
-1644.155231,300,122.850314
-1249.727583,264,123.291021
-1608.12356,189,123.643172
-1281.796683,289,124.121751
-1361.780231,168,124.452814
-1482.646426,202,124.842586
-2021.980795,305,125.35219
-1367.85637,227,125.75708
-1605.211084,176,126.093907
-1470.721212,160,126.417426
-1808.28237,307,126.925488
-1424.787236,221,127.32567
-1779.570184,231,127.731611
-1955.784073,268,128.201669
-1565.067068,264,128.659123
-1678.167648,246,129.08282
-1083.737975,242,129.49103
-1659.787108,258,129.945476
-1886.893678,275,130.423731
-1616.744278,257,130.879409
-1817.859835,387,131.478192
-2299.264918,293,131.960197
-1363.766859,152,132.276019
-2019.080968,236,132.690789
-1576.71498,218,133.088434
-1453.149972,196,133.448522
-1654.267598,257,133.889973
-1637.683642,223,134.290426
-1471.268831,188,134.638834
-1299.792537,315,135.165099
-1408.685578,165,135.492589
-1720.814832,262,135.950209
-1505.909492,312,136.473696
-1607.334644,246,136.900376
-1539.424059,172,137.239108
-2813.471713,426,137.90402
-1508.255026,168,138.233622
-1478.895691,235,138.647107
-1632.822016,290,139.12729
-1632.286341,251,139.572001
-1676.990402,206,139.964884
-1189.577271,161,140.289945
-1421.148195,151,140.608955
-1459.479452,176,140.949287
-1706.870742,217,141.346491
-1670.660158,224,141.750243
-1522.479854,226,142.156025
-1665.207537,199,142.517763
-1841.761461,249,142.946217
-1935.379085,214,143.343622
-1623.995003,199,143.705883
-1909.120076,217,144.107831
-1503.527484,204,144.493461
-1625.100071,177,144.835682
-1476.75778,271,145.296599
-1233.997405,281,145.76813
-1407.604511,200,146.132154
-1871.802955,261,146.593018
-1658.56838,177,146.93599
-1778.117723,255,147.390157
-1903.971786,220,147.791809
-555.133956,268,148.245338
-1467.348581,183,148.592894
-1590.231083,260,149.0488
-1592.559581,177,149.388239
-1409.069841,252,149.826634
-724.310098,394,150.427057
-1643.125363,196,150.783676
-1761.646401,222,151.185179
-1562.022119,288,151.665461
-1674.605732,255,152.114458
