#{"t_start": 1700422338.7289724, "env_id": "modulatingEnv-v1"}
r,l,t
-1720.777971,256,0.910553
-1431.963078,253,1.394778
-1537.55282,237,1.810156
-2216.703578,305,2.320864
-1490.397684,212,2.713889
-2319.738684,386,3.330985
-1527.345352,286,3.810616
-1419.81501,181,4.156629
-1590.196346,258,4.616066
-1399.942891,208,5.003485
-1708.971097,296,5.492965
-1538.410456,233,5.905771
-1862.826696,266,6.368948
-1482.871798,282,6.833346
-1514.734759,190,7.186041
-1773.859786,231,7.596615
-1818.691173,272,8.062453
-1262.116388,300,8.545289
-1522.005364,183,8.889034
-1983.326162,292,9.372022
-1574.022361,258,9.822624
-1356.212528,170,10.154897
-1721.245244,253,10.601752
-1508.764904,186,10.947917
-1564.756234,241,11.366238
-1638.120656,191,11.720623
-2021.888223,414,12.361819
-1598.547541,198,12.717505
-1455.772089,187,13.066997
-1516.13184,266,13.51752
-1525.165481,239,13.935236
-1572.388779,220,14.33577
-1566.560862,260,14.790641
-1884.867577,238,15.21252
-1690.651812,236,15.626754
-1557.804129,248,16.048025
-1568.501568,225,16.45213
-1697.11761,195,16.80572
-1577.286725,182,17.146626
-1498.475803,192,17.499444
-1959.15842,330,18.043853
-813.052004,305,18.541814
-1337.655708,207,18.937548
-2375.669501,402,19.593792
-1612.672049,209,19.981653
-1316.109759,286,20.456152
-1805.842251,213,20.84499
-1466.388252,282,21.323737
-1443.938132,184,21.671431
-1179.570031,333,22.202172
-1388.975112,193,22.559155
-1724.732251,283,23.034904
-2293.908357,473,23.760592
-1421.513582,269,24.216624
-1578.567879,261,24.667039
-1523.329624,182,25.012599
-1412.815212,170,25.344996
-2040.59728,285,25.823691
-1627.969776,266,26.270707
-1517.561344,176,26.606747
-1428.791223,194,26.963499
-1397.919101,175,27.298787
-1391.411841,194,27.654873
-1775.618625,280,28.126554
-2686.506651,451,28.801238
-1716.729512,246,29.222557
-1489.267284,212,29.612564
-1351.263538,233,30.024745
-1541.941859,173,30.359473
-1215.35358,150,30.65298
-1326.035355,152,30.968296
-1738.288365,262,31.422631
-1564.073486,184,31.768756
-1619.456016,212,32.160489
-1380.285866,156,32.478388
-1418.392993,166,32.8056
-1648.351115,206,33.187866
-1435.59183,265,33.634758
-2051.375799,327,34.168372
-1591.79328,204,34.555283
-1526.594147,172,34.889791
-1672.764218,198,35.251094
-1551.026151,265,35.70026
-1706.576158,288,36.183172
-1506.329856,308,36.700722
-1783.389202,249,37.12813
-1331.215769,223,37.526259
-1416.109659,276,37.987345
-2216.503994,365,38.577674
-1541.40141,214,38.972184
-1818.58311,229,39.384026
-2023.003745,291,39.865706
-1363.48642,273,40.330395
-1845.167285,325,40.857484
-1358.586485,138,41.145103
-1467.371814,226,41.549634
-1680.5341,240,41.971262
-1914.722613,374,42.556202
-1536.024083,250,42.984069
-2050.783588,389,43.599959
-1779.018486,303,44.113797
-1554.849354,185,44.465452
-1680.978403,394,45.068075
-1827.107571,213,45.459027
-1454.493968,277,45.925203
-1344.389588,155,46.241138
-1412.402179,286,46.717058
-1461.879685,185,47.063335
-1942.568465,222,47.467893
-1167.140173,237,47.873619
-2169.071227,389,48.486369
-1908.865044,368,49.073588
-1743.227329,222,49.472884
-1408.463129,275,49.937808
-1975.21316,406,50.576369
-1563.089912,244,50.994773
-1567.901736,174,51.338137
-1404.57788,195,51.693283
-1368.441906,229,52.099983
-1460.878864,214,52.491662
-1574.866916,221,52.890905
-1708.229413,230,53.297162
-1542.768261,180,53.639618
-1409.375017,266,54.095582
-1450.354604,257,54.54401
-1267.824791,156,54.863023
-1232.879169,347,55.409505
-2032.953199,263,55.863857
-1456.008887,197,56.220786
-1494.392888,184,56.570142
-2272.696172,529,57.352266
-1699.116841,289,57.826191
-1399.371935,206,58.210435
-1789.630081,259,58.66344
-1579.047489,223,59.06292
-1467.605657,194,59.419193
-1664.329467,240,59.834947
-1505.104285,209,60.219775
-1748.351703,250,60.650045
-1195.356187,237,61.055201
-1863.987849,247,61.47955
-1589.750421,231,61.890083
-1455.665997,271,62.347584
-1335.496534,172,62.682436
-1632.698207,211,63.069195
-1331.700611,166,63.396675
-2058.030407,289,63.880831
-1539.577547,175,64.218455
-1749.077121,239,64.632064
-1110.020904,221,65.020926
-1541.056708,226,65.424075
-1814.486509,260,65.880202
-1513.723797,178,66.219688
-1073.409906,310,66.73155
-1614.355998,183,67.081484
-1954.156739,331,67.620159
-1799.766993,382,68.224777
-1385.720013,137,68.510079
-2001.482188,259,68.961172
-1446.35787,164,69.28547
-1336.167597,177,69.628023
-1629.926309,220,70.024462
-1257.111361,123,70.295039
-1455.751234,187,70.642155
-1063.445841,453,71.356823
-1303.659428,139,71.641462
-1327.589518,190,71.992812
-1618.944121,176,72.331108
-1454.611711,227,72.735673
-1292.886136,224,73.133336
-1574.542927,219,73.534693
-2596.914458,419,74.178446
-1362.756657,149,74.473527
-1779.548487,186,74.828375
-1735.305538,265,75.28555
-1501.833751,234,75.694884
-2263.013685,269,76.149138
-1487.075025,163,76.471956
-1517.990126,261,76.925012
-1562.35098,179,77.269869
-1365.232238,217,77.668932
-1503.184229,234,78.086519
-1581.145056,194,78.444892
-1592.031958,202,78.828073
-1852.821453,247,79.252051
-1925.217285,234,79.665381
-1682.340222,247,80.087627
-1609.558875,218,80.493706
-1715.350518,236,80.908713
-1497.987303,202,81.290207
-1806.92046,216,81.687876
-1676.691433,278,82.151144
-1450.791633,258,82.601909
-1586.770621,228,83.01025
-1512.814785,206,83.395326
-1570.414677,188,83.74337
-1365.825703,199,84.104708
-738.973668,298,84.580147
-1670.21858,210,84.967949
-1499.4721,195,85.329815
-1554.620604,280,85.796686
