#{"t_start": 1700575474.140197, "env_id": "modulatingEnv-v1"}
r,l,t
-1443.956821,244,0.899293
-1596.280955,235,1.347094
-1468.166869,266,1.809216
-1892.882306,244,2.253321
-1710.741293,291,2.7437
-1404.452431,207,3.133229
-1298.845842,232,3.547642
-2078.580955,380,4.151976
-1489.639116,223,4.56148
-1581.875615,256,5.006622
-1940.77819,264,5.469985
-1650.387774,255,5.923383
-1604.766774,267,6.399857
-2047.728354,323,6.937246
-1582.936889,217,7.336857
-1097.906975,280,7.806673
-1803.602568,343,8.345442
-1673.24702,346,8.902829
-1260.185499,296,9.379771
-900.548349,292,9.851233
-1292.320114,237,10.258942
-1413.109162,252,10.703068
-1626.494643,265,11.160954
-1841.14128,253,11.610607
-1951.87852,331,12.158691
-1624.392451,277,12.629767
-1467.909675,455,13.340512
-1932.605533,405,13.991697
-1356.757086,262,14.442479
-1334.563852,246,14.868965
-1616.236528,267,15.374044
-1453.829299,371,15.96204
-1894.443297,285,16.440197
-1552.5882,233,16.867381
-1453.960759,588,17.714626
-2051.468938,391,18.335985
-1184.412796,261,18.786047
-1493.389,271,19.253872
-1230.694853,221,19.65452
-1067.625497,256,20.099277
-1059.321981,245,20.505607
-1780.114777,276,20.978981
-1316.337914,213,21.374227
-1786.912001,264,21.826848
-1318.270733,211,22.22106
-1327.262608,211,22.613239
-1248.441814,221,23.018111
-2127.359884,304,23.533509
-1882.825879,251,23.979961
-799.240465,291,24.455782
-1586.68588,264,24.918532
-1952.413008,432,25.57697
-1536.25603,222,25.973704
-1453.500744,260,26.422981
-1593.639551,247,26.845408
-1478.179382,227,27.252204
-2225.908471,297,27.739413
-2012.841338,312,28.267745
-1468.471673,298,28.747809
-1813.238092,261,29.212965
-2145.691394,368,29.800877
-1562.640795,209,30.193495
-1803.369686,288,30.674496
-1468.131144,253,31.12746
-1256.654605,243,31.556183
-1283.849925,217,31.954942
-1689.50926,282,32.428957
-1304.1827,298,32.919811
-1810.324796,295,33.412995
-1311.93419,244,33.843044
-1909.239662,295,34.330385
-1686.783774,260,34.789315
-1210.251251,246,35.217398
-1607.311712,223,35.622202
-1488.073222,238,36.044977
-1456.124386,240,36.465652
-1379.522272,234,36.882003
-1509.895694,259,37.343632
-1616.054743,259,37.799236
-1363.932512,224,38.20611
-2246.463421,294,38.692879
-1578.775763,280,39.157199
-1672.092867,224,39.561594
-1528.841011,223,39.965547
-1419.436548,233,40.380302
-2041.567047,271,40.84393
-2146.306479,394,41.469281
-1279.583672,228,41.871072
-1934.092589,269,42.339696
-1106.620358,302,42.843009
-1593.502735,257,43.296173
-1182.562376,258,43.746416
-1397.078933,264,44.212823
-1502.491386,238,44.634568
-1161.680007,362,45.222417
-1964.989136,275,45.692263
-1465.30822,258,46.145005
-1422.316252,260,46.595861
-1736.844661,237,47.015146
-1680.357246,297,47.512112
-1272.862188,289,47.99345
-1804.738632,303,48.507193
-1630.703471,257,48.947751
-1452.483024,289,49.430821
-1409.530724,265,49.894675
-1514.201397,266,50.341783
-1543.394491,244,50.752691
-1505.782269,214,51.144249
-1640.640095,267,51.607102
-1757.188828,435,52.280777
-2060.375067,293,52.778633
-926.263345,325,53.307364
-1524.279476,263,53.772146
-1325.456431,305,54.289219
-1222.373722,281,54.763942
-1912.130132,272,55.247429
-1684.419493,356,55.824248
-1352.116437,231,56.239128
-1306.17105,211,56.630025
-1889.033079,419,57.301615
-1920.980162,297,57.798211
-1421.445993,243,58.210901
-1858.708949,297,58.6984
-2588.239483,372,59.295089
-1649.304923,259,59.750642
-2224.54679,411,60.410957
-2044.602729,264,60.875293
-1464.021257,258,61.332766
-1643.126868,222,61.733208
-1308.920924,237,62.139779
-1208.825158,229,62.542705
-1471.611649,266,63.003921
-1941.742114,277,63.480512
-1130.731277,264,63.932733
-1981.86143,412,64.586748
-1556.550367,207,64.986589
-1693.074174,233,65.404862
-1705.792225,262,65.875373
-1743.665992,257,66.331726
-1836.118554,245,66.761749
-1592.583617,282,67.234754
-2143.526886,271,67.698583
-1843.747488,358,68.268683
-1629.240347,279,68.731847
-2217.584828,286,69.216926
-1741.780882,287,69.695297
-1290.661579,249,70.123925
-1424.81728,242,70.552158
-1633.64134,259,71.009038
-1798.851178,277,71.484916
-1939.006444,275,71.965579
-1380.323583,361,72.534415
-1644.658125,259,72.975241
-1693.178023,229,73.386221
-1573.384626,229,73.799742
-1436.774077,215,74.198584
-2096.794779,340,74.735254
-2089.092417,381,75.351946
-1822.555903,271,75.82356
-2151.855586,288,76.293533
-1685.214919,256,76.749379
-1378.869369,341,77.283971
-2184.00634,320,77.820837
-1542.880821,233,78.230625
-1281.61793,312,78.743059
-1455.705587,444,79.44568
-1898.283726,262,79.899234
-1887.760268,292,80.387211
-1554.14982,267,80.846905
-1275.589258,176,81.194381
-1614.221207,271,81.65809
-1266.425214,292,82.149427
-1402.749199,231,82.56719
-1645.182747,268,83.02935
-1826.402992,288,83.503702
-1490.113935,207,83.891994
-1286.334692,213,84.282695
-1955.977991,281,84.761283
-1908.861882,299,85.257934
-1673.19255,279,85.733282
-1608.48683,268,86.204287
-1343.488569,259,86.664135
-1477.963639,238,87.084632
-1540.621675,243,87.509199
-1345.055993,306,88.034132
-1571.019907,270,88.502543
-1801.674544,281,88.980979
-1481.386298,355,89.570823
-1399.761126,219,89.972594
-1476.508037,264,90.419275
-1164.706125,336,90.967116
-1729.900302,277,91.440542
-1472.111167,262,91.890892
-1318.708265,274,92.371993
-1488.756211,348,92.913959
-1875.725234,294,93.40315
-1747.398231,308,93.921711
-2504.664965,315,94.452012
-1583.190463,228,94.876886
-1482.481896,264,95.328083
-2051.727496,379,95.938983
-2925.837424,387,96.567412
-1661.399299,259,97.014298
-1382.30224,244,97.442823
-1606.379976,275,97.914478
-2234.890083,297,98.392602
-1996.751118,376,98.980305
-1670.645146,434,99.66326
-1650.737365,456,100.369821
-815.121913,302,100.876729
-1698.164122,229,101.287298
-2124.654898,360,101.866846
-1444.849213,264,102.3337
-2037.941356,299,102.820368
-1419.314639,271,103.274841
-1717.146382,261,103.731145
-1582.727321,252,104.180378
-1128.756996,283,104.649006
-1397.834064,263,105.106639
-1741.238269,255,105.553891
-1567.51677,270,106.007344
-1451.608086,263,106.462539
-1773.191282,259,106.91534
-1608.323695,288,107.40035
-1948.283223,264,107.861557
-1725.897163,317,108.392219
-1164.264555,334,108.926137
-1421.291531,215,109.313266
-1743.185023,255,109.771883
-1501.333593,249,110.202483
-1160.535689,263,110.65733
-1476.819346,243,111.075838
-1526.993128,285,111.556093
-810.188534,300,112.04405
-2052.950915,445,113.266036
-1635.524914,221,113.671001
-1895.236161,304,114.196078
-1687.573794,304,114.704344
-1722.55742,269,115.177058
-1875.154472,440,115.847101
-1624.594117,225,116.26967
-1626.720388,258,116.737453
-1600.699215,209,117.131073
-1664.010822,276,117.611846
-1378.077333,228,118.031048
-1155.683335,230,118.442541
-1690.443129,311,118.970733
-1590.848563,264,119.425963
-1805.472396,283,119.911513
-1361.599739,302,120.431443
-875.349843,507,121.20094
-2214.195575,374,121.801916
-1830.268696,316,122.33974
-1492.589347,316,122.863584
-1927.395314,404,123.502517
-1492.629504,243,123.920087
-1659.389354,396,124.53249
-1327.13959,200,124.90212
-2067.567549,274,125.373863
-1243.714349,272,125.835009
-2049.08291,341,126.3942
-940.529967,298,126.88722
-1995.215535,276,127.364782
-1713.869335,241,127.791121
-1479.104467,237,128.216593
-1783.45217,310,128.747745
-991.570239,566,129.581038
-1180.548749,402,130.23711
-1783.110957,300,130.727875
-1427.243238,229,131.141045
-1262.729201,276,131.625078
-1536.696728,251,132.07811
-1682.306256,246,132.507449
-1188.129919,146,132.817788
-1728.232982,396,133.448564
-1800.366144,258,133.910638
-2316.767449,399,134.537112
-1425.124079,263,135.000208
-2204.559344,481,135.730948
-1367.024347,237,136.148941
-1635.803296,216,136.552583
-1657.721075,251,137.003929
-1453.876387,220,137.406386
-1413.439561,241,137.831696
-2892.721702,507,138.618883
-2208.661515,390,139.226471
-1311.010518,253,139.671192
-1477.56992,243,140.101601
-1481.23365,271,140.563584
-1199.449312,242,140.97845
-1346.029396,175,141.321896
-1587.157999,221,141.731101
-1763.33297,246,142.158812
-1388.335928,289,142.63669
-1625.08279,269,143.104777
-1744.646419,252,143.557899
-2149.609894,288,144.045857
-1338.372297,248,144.474488
-955.203004,323,144.99597
-1275.418613,296,145.494194
-1321.301502,256,145.965007
-1994.153835,269,146.433283
-1684.897735,224,146.839072
-1948.745818,296,147.338464
-1502.774679,258,147.779326
-1529.171541,334,148.320742
-1643.1362,298,148.806183
-1883.512455,311,149.337288
-2281.54815,365,149.939871
-1571.676294,246,150.371465
-1432.269041,283,150.849806
-1791.932421,337,151.403299
-1960.532702,272,151.877033
-1835.000675,338,152.419961
-1665.511691,238,152.84222
-3863.223825,484,153.580381
-1031.166806,284,154.048515
-1512.737933,273,154.522896
-1565.898726,212,154.920906
-1809.843116,301,155.443181
-1455.962323,250,155.867667
-2199.312898,381,156.46803
-2099.977639,303,156.990952
-1539.930691,303,157.510989
-1517.877281,204,157.903398
-1559.194737,403,158.55076
-1500.075006,240,158.978528
-1357.62346,272,159.438674
-1965.892334,346,160.012115
-1794.884683,275,160.490401
-1631.878145,345,161.042161
-1665.28631,285,161.540554
-1588.738201,231,161.960829
-1875.220472,266,162.429888
-1704.194758,230,162.847262
-1583.501929,218,163.260867
-1675.884354,266,163.725493
-1649.693929,407,164.389677
-1469.99821,258,164.849645
-1770.707439,244,165.280054
-1334.54592,224,165.680749
-1714.412553,300,166.178357
-2189.971276,386,166.804459
-1232.239975,276,167.282546
-1867.820746,291,167.779274
-1459.738005,226,168.187938
-1654.81443,225,168.596325
-2377.737224,380,169.213864
-1425.135608,198,169.576869
-2556.461713,383,170.200148
-1277.927289,332,170.731789
-2001.877928,406,171.360354
-1802.142565,269,171.818805
-1436.001503,232,172.234563
-1777.111939,244,172.667109
-2312.931553,338,173.222002
-1118.613756,228,173.629298
-1423.479178,220,174.032357
-1560.158968,408,174.672925
-1395.179475,229,175.085234
-1491.046029,325,175.62547
-1461.694696,197,175.995095
-1678.746966,340,176.534559
-1937.871486,238,176.963191
-2021.905382,417,177.628919
-1717.525023,348,178.201869
-1210.062651,272,178.656339
-1711.120327,259,179.118288
-1890.36162,298,179.61481
-1626.697389,255,180.07077
-1584.774219,297,180.578435
-1587.622609,205,180.969295
-1523.519865,244,181.392504
-1607.343312,270,181.850358
-1483.591545,266,182.309107
-1465.710915,208,182.703302
-1411.960757,289,183.189875
-1410.334176,241,183.608628
-1707.651867,276,184.090266
-1474.563134,271,184.556491
-1429.419945,307,185.091511
-1702.547875,234,185.518519
-1335.250946,264,185.966779
-1450.837829,226,186.377872
-1310.4512,170,186.72595
-817.20031,294,187.205644
-1674.504994,215,187.61175
-2412.027957,366,188.216063
-1185.682708,301,188.726555
-1518.258181,217,189.131246
-1292.212074,291,189.6214
-1982.114823,263,190.087853
-1677.093409,235,190.505306
-1139.882809,219,190.908272
-2885.347111,495,191.649117
-1568.625935,278,192.128533
-1998.527248,398,192.766991
-1573.174246,300,193.252965
-1581.925781,331,193.797595
-2300.078516,309,194.321355
-1669.529056,234,194.7411
-2117.98956,368,195.323684
-1675.024418,252,195.778029
-1537.716508,239,196.197031
-1652.925384,260,196.659435
-1378.45637,182,197.010204
-1940.550756,282,197.490794
-1622.563323,265,197.951514
-1092.922231,322,198.475478
-1317.633639,235,198.897934
-1375.631798,224,199.311013
-1721.692214,237,199.734838
-1238.65171,317,200.252557
-1358.919433,233,200.670594
-1726.724068,293,201.162256
-1298.037943,243,201.581734
-1710.559994,273,202.058234
-1597.057852,256,202.509078
-1058.486404,287,202.983701
-2134.534972,275,203.461207
-1311.366904,269,203.929026
-1391.995553,251,204.367144
-1730.796061,269,204.839187
-1758.992545,269,205.306897
-1709.450226,308,205.831386
-2119.67367,296,206.329931
-1349.594269,217,206.730692
-1879.069739,247,207.16019
-1264.724262,422,207.820548
-1438.638538,195,208.18652
-1638.09524,577,209.030908
-1541.178112,265,209.493674
-2014.761461,278,209.969068
-2785.850387,355,210.538146
-1962.240456,294,211.037768
-1070.559954,297,211.529157
-1438.876207,330,212.074972
-1569.118612,226,212.483849
-1736.478432,206,212.874404
-1250.773582,234,213.286046
-1996.716886,512,214.055212
-2184.414709,375,214.667123
-1217.023478,278,215.136034
-1446.986675,214,215.526169
-1907.496293,274,215.994862
-1723.446889,282,216.47058
-1270.815531,318,216.998508
-1488.709747,285,217.482035
-1281.926115,298,217.972067
-1679.331989,220,218.376202
-2086.299518,246,218.803419
-2597.790676,426,219.457394
-2331.954741,349,220.027207
-1433.741391,276,220.500174
-1541.843336,275,220.978323
-1672.038105,296,221.463462
-1305.938726,241,221.886955
-1147.394312,232,222.296603
-1645.893023,248,222.7216
-1942.631764,259,223.175818
-1520.999955,224,223.582646
-1865.469997,286,224.583363
-1506.799525,274,225.046692
-1830.704883,283,225.514043
-1902.855052,243,225.93812
-1401.997604,282,226.407398
-1610.017656,236,226.827396
-1860.997612,230,227.24725
-1521.637832,283,227.734478
-1674.76395,567,228.561557
-1457.962263,211,228.956873
-1612.495255,298,229.452023
-2512.569692,340,230.004592
-1989.106368,298,230.49827
-1652.742598,254,230.942658
-1756.567346,311,231.4728
-1655.857675,278,231.936406
-1511.128606,223,232.340066
-1144.200158,211,232.726334
-1916.066375,279,233.200756
-1656.290594,271,233.661405
-1857.066162,260,234.11418
-1595.287412,236,234.529368
-1441.502769,423,235.201357
-1509.667488,260,235.656035
-1229.708068,306,236.158211
-1658.350475,257,236.611692
-1697.568158,290,237.095939
-1242.652838,290,237.579576
-1253.412586,239,237.990759
-2051.208435,440,238.673575
-1599.971017,283,239.158714
-1061.825562,251,239.59159
-873.659152,247,240.011677
-1723.288968,257,240.469903
-1725.701035,245,240.905719
-2451.82223,329,241.44397
-1759.64991,224,241.851756
-1441.246924,244,242.273206
-2608.276177,426,242.942492
-1616.020632,275,243.411449
-1622.230825,254,243.862863
-1262.351372,205,244.247743
-1874.633124,313,244.784099
-973.722484,278,245.256402
-1895.796477,316,245.764603
-1881.797805,256,246.215153
-2080.360167,305,246.71987
-2367.74674,308,247.236218
-1457.456009,368,247.831125
-1851.104171,306,248.344104
-1318.948702,267,248.799578
-1717.125958,307,249.317414
-1643.911632,272,249.784218
-1495.442,247,250.20146
-1705.500735,254,250.650246
-1682.535626,285,251.126031
-1833.586335,321,251.661852
-1076.310518,201,252.031205
-1711.402136,241,252.449751
-1689.735768,262,252.912998
-1526.358676,240,253.329597
-2459.406132,392,253.953717
-1402.29505,254,254.393777
-1993.091137,335,254.939091
-1662.464096,216,255.331625
-1668.080302,251,255.782119
-1774.202027,256,256.235168
-1745.02492,295,256.714205
-1312.743805,234,257.124862
-2213.696854,418,257.789732
-1475.758642,357,258.369732
-1749.754953,312,258.881414
-1716.504255,282,259.354471
-1501.927227,246,259.769351
-1407.212872,304,260.27324
-1366.303238,292,260.765079
-1804.905475,241,261.185312
-2214.833125,385,261.783249
-1812.685447,272,262.249954
-1484.612231,226,262.650619
-2090.831073,250,263.078398
-1652.045375,271,263.550957
-1765.696128,264,264.008474
-1816.038562,320,264.538863
-2494.282952,347,265.094167
-1015.958247,277,265.553041
-1553.639242,275,266.012172
-1384.578819,261,266.471888
-1961.883336,265,266.934114
-1240.926828,247,267.347686
-1560.522259,279,267.818274
-1760.339388,264,268.287193
-1457.232262,270,268.75425
-1676.013171,247,269.172823
-1858.843984,274,269.644077
-1643.01646,283,270.113034
-2385.524945,366,270.706094
-1465.909348,236,271.124314
-2000.355453,274,271.595684
-2336.767071,400,272.218121
-1689.305957,393,272.841128
-1655.084805,252,273.290756
-1931.114577,421,273.939316
-1465.272383,253,274.387093
-1616.344434,229,274.797953
-1833.09041,283,275.281434
