#{"t_start": 1700593174.089856, "env_id": "modulatingEnv-v1"}
r,l,t
-1366.952026,239,0.892859
-1489.339562,203,1.300162
-1539.738459,204,1.724078
-1760.326607,234,2.154896
-1453.834279,279,2.654471
-1733.37737,266,3.141578
-1434.274202,207,3.540858
-1530.829935,243,3.973752
-3047.926098,427,4.665286
-1430.7898,290,5.155551
-1626.479876,238,5.581906
-1597.607851,245,6.014582
-1728.729712,402,6.655632
-1588.249783,267,7.120741
-1942.246823,298,7.628787
-1411.029551,235,8.038498
-1305.462012,181,8.389949
-1506.184934,302,8.90759
-1601.297112,214,9.317835
-1703.024117,300,9.817988
-1531.029855,275,10.285732
-1497.871862,247,10.720631
-1658.91797,278,11.203841
-1451.944458,270,11.670088
-1621.640195,266,12.134666
-1380.361226,261,12.58936
-1357.682092,246,13.017543
-1402.728685,277,13.494952
-1898.220051,366,14.091158
-1317.762906,239,14.508298
-1265.425856,255,14.959239
-1745.685195,228,15.372595
-1498.070275,256,15.839867
-1438.023009,220,16.250944
-1676.991785,273,16.732924
-1247.110741,316,17.264522
-1623.461009,242,17.694703
-1531.19375,259,18.154892
-1389.080522,208,18.551667
-1507.206371,276,19.03464
-1508.558124,214,19.436988
-1550.295542,282,19.909603
-1945.48253,344,20.483331
-1803.985309,265,20.955709
-1612.186242,238,21.385725
-1424.648724,266,21.851653
-1462.520237,257,22.316372
-2208.940271,354,22.902788
-1566.416519,350,23.470488
-1608.281533,205,23.86787
-1213.166597,265,24.32731
-1467.858049,228,24.746823
-1571.807091,231,25.164893
-1990.779436,242,25.596412
-1234.109989,237,26.010709
-1198.092478,362,26.600069
-1409.864651,280,27.080652
-886.47062,311,27.603167
-1470.556335,223,28.014141
-1405.27708,215,28.416559
-1280.130286,179,28.767014
-1590.198353,229,29.186248
-1643.532567,288,29.673403
-2409.855557,334,30.220697
-1603.350509,211,30.619208
-1214.951054,163,30.95276
-1873.760737,325,31.503874
-2125.239638,338,32.072871
-1596.557964,239,32.511607
-1069.445769,264,32.96989
-1825.384646,375,33.568752
-1833.357304,245,34.002744
-1762.736889,249,34.4414
-1750.96688,262,34.907707
-1591.984048,233,35.336466
-1578.605726,236,35.760813
-1446.765945,197,36.13188
-1829.297124,244,36.556056
-1383.452722,242,36.983117
-1326.279187,245,37.405048
-1891.323823,304,37.917242
-1296.679806,349,38.479306
-946.10935,294,38.96736
-1871.500609,252,39.43216
-2417.29262,373,40.044953
-1751.060694,260,40.511295
-1767.730199,253,40.967695
-1896.8786,306,41.495159
-1334.133171,214,41.893742
-1459.587664,239,42.32045
-1684.579558,223,42.729327
-1480.781146,194,43.091422
-1310.966437,239,43.517966
-972.841469,294,44.000804
-1745.280903,245,44.4332
-1471.688876,244,44.864739
-1091.565739,239,45.292471
-1561.324355,321,45.832365
-1749.365578,276,46.304717
-1662.580042,281,46.78566
-1367.481547,205,47.173282
-1882.146613,376,47.766848
-2392.182641,387,48.396558
-1524.977753,276,48.875842
-2100.796607,296,49.381786
-1468.385598,200,49.753464
-1741.09894,272,50.233054
-1821.042694,266,50.707884
-1760.43428,273,51.195968
-1426.733266,230,51.612279
-1830.210964,268,52.085885
-1361.29976,199,52.457431
-1437.355211,267,52.933462
-1765.916781,257,53.396074
-2670.114023,462,54.14328
-2490.523014,288,54.645042
-1706.651058,304,55.170359
-1459.706806,196,55.540998
-1593.131236,323,56.091631
-1652.043019,257,56.553567
-1707.408779,269,57.030588
-2026.399903,378,57.635096
-1454.021318,249,58.065278
-1605.36709,242,58.498128
-1438.198338,279,58.981168
-1884.704492,281,59.472189
-1595.00318,290,59.958246
-1697.861313,243,60.397083
-1748.801106,303,60.924861
-1381.498559,259,61.384059
-2530.600459,384,62.010699
-1262.218705,262,62.469874
-1273.394412,271,62.941389
-2725.555895,405,63.608979
-1451.839373,285,64.10199
-1707.357694,240,64.532888
-1665.350789,252,64.98902
-1865.719546,357,65.575114
-1668.470224,248,66.019047
-1673.536799,225,66.435604
-1521.929988,292,66.933627
-1505.671417,316,67.475346
-1890.845631,258,67.941366
-1700.085275,242,68.373991
-2035.863319,307,68.899949
-1640.75288,226,69.314132
-1784.362027,262,69.776517
-1385.151357,253,70.235895
-1521.294131,327,70.786446
-1820.506091,243,71.217512
-1820.783225,272,71.711704
-1640.148185,332,72.274947
-1261.901682,232,72.690007
-1701.525452,426,73.356495
-1412.030358,222,73.770962
-1596.064305,225,74.186003
-1611.335891,292,74.679272
-1257.756731,265,75.143427
-1772.393718,246,75.576186
-1335.006407,276,76.045267
-1721.135947,289,76.525911
-1650.247225,222,76.940783
-1448.719699,197,77.306445
-1431.601472,229,77.727358
-2308.945593,385,78.359311
-1528.955796,242,78.795828
-1446.555871,227,79.215655
-2141.42898,255,79.676073
-1363.023983,198,80.044039
-1678.055173,238,80.470205
-1753.161918,225,80.882949
-1888.67486,302,81.409922
-1547.519395,250,81.850673
-1495.59967,238,82.275352
-914.625204,242,82.691783
-1499.946486,243,83.123244
-1118.074188,273,83.585205
-1692.339798,284,84.078149
-1455.809822,239,84.497858
-1321.269829,260,84.962368
-934.778866,272,85.437204
-1446.589116,253,85.893915
-1394.582792,172,86.239395
-1592.814836,227,86.655579
-1565.834024,224,87.072509
-1217.296591,275,87.553334
-1301.413595,282,88.041703
-1402.827042,299,88.534043
-1718.19681,223,88.947095
-1367.506098,256,89.407289
-2080.684005,384,90.048815
-1398.949007,250,90.484368
-1748.922117,255,90.954093
-1672.743824,313,91.484388
-1417.388805,229,91.901817
-1359.711726,213,92.304634
-1632.589168,241,92.735335
-1514.630538,226,93.148833
-2152.142405,346,93.720543
-1456.516042,190,94.076057
-1526.346077,211,94.473
-1367.804089,312,94.99157
-1276.600146,260,95.450187
-1619.839756,268,95.922316
-1601.15245,252,96.378151
-1667.123732,287,96.871475
-1359.980242,228,97.283043
-1619.23439,335,97.829764
-1632.965884,240,98.26073
-2147.191236,282,98.742392
-1629.08942,225,99.15438
-883.91347,301,99.673875
-1587.500855,273,100.149086
-1562.437185,233,100.574929
-1970.442564,385,101.205477
-1563.063163,245,101.636303
-1559.678686,221,102.050225
-1617.941432,228,102.463683
-2384.380779,341,103.02177
-1555.729507,363,103.613869
-1415.199475,268,104.076541
-1378.399123,233,104.499907
-1465.318135,252,104.95664
-2296.595569,375,105.578615
-2672.959502,955,106.93258
-1642.417746,287,107.428405
-1038.419651,275,107.908813
-1433.951767,238,108.33044
-1999.843406,323,108.875235
-1842.021058,305,109.402559
-1622.872491,312,109.945158
-1507.327523,250,110.388716
-1657.359499,239,110.819557
-1965.407306,282,111.311684
-1651.995557,208,111.721055
-1570.293867,303,112.244854
-1458.889793,238,112.673446
-1680.0034,328,113.224889
-1673.086848,273,113.704962
-1375.036377,225,114.118223
-1421.812132,258,114.58057
-1534.365828,250,115.575943
-1317.656451,286,116.071389
-1627.202351,263,116.551413
-1506.308031,218,116.96599
-2533.896565,392,117.614212
-1401.793632,213,118.02342
-1778.600876,290,118.528541
-1542.87734,267,119.003966
-1351.230448,268,119.480431
-2083.148397,325,120.03844
-1587.067503,253,120.50611
-2133.831567,320,121.063554
-1392.490281,266,121.54553
-1304.488872,284,122.036995
-1743.210659,267,122.519144
-1365.802222,304,123.047784
-2346.056028,273,123.539259
-1646.433768,244,123.977202
-1114.593056,270,124.461653
-1630.450735,282,124.948365
-1331.394387,253,125.421334
-1369.792983,326,125.969351
-1867.744828,288,126.473566
-1736.586515,235,126.89784
-1604.157104,251,127.361634
-1397.249404,225,127.778264
-1903.338727,276,128.271569
-1502.486031,268,128.741605
-1449.731486,195,129.114818
-1843.688004,395,129.738371
-1456.670824,215,130.150957
-2788.340637,359,130.761885
-1701.774847,274,131.253523
-1518.29391,288,131.752831
-1739.24086,322,132.309437
-1581.582614,279,132.803454
-1702.954643,254,133.270779
-900.427407,267,133.737375
-1627.864447,248,134.178352
-1581.293665,299,134.682243
-1608.09891,207,135.084471
-1245.786495,217,135.498096
-1237.696045,251,135.963467
-1217.732279,208,136.36918
-1796.10865,276,136.860818
-1826.205933,334,137.419481
-1369.239417,236,137.852438
-1818.633612,385,138.486723
-2177.837393,374,139.115939
-1636.099767,344,139.68244
-1433.01729,438,140.367446
-1395.656491,249,140.804097
-1477.704964,269,141.27847
-1454.877363,301,141.805543
-1437.775301,253,142.273428
-1865.274932,472,143.03442
-1306.680691,231,143.461831
-1484.437344,213,143.871008
-1485.685021,245,144.315475
-1473.542927,282,144.81892
-1679.340273,249,145.263223
-1102.045469,290,145.757648
-2048.493653,316,146.302177
-1444.498999,254,146.767203
-1231.082806,221,147.176092
-1655.976703,257,147.65266
-2196.325171,400,148.296952
-999.231271,265,148.761862
-1571.425042,249,149.20466
-1387.371286,230,149.631879
-1440.464378,228,150.059096
-1836.791224,274,150.551956
-1115.140053,206,150.955844
-1164.789248,239,151.389645
-2591.821112,373,152.019259
-1688.392736,327,152.575751
-2519.941532,374,153.203511
-1563.485854,250,153.650713
-1508.315179,226,154.075223
-1683.461631,242,154.520907
-1441.701669,267,154.990912
-1408.686198,329,155.553909
-1807.990355,302,156.089932
-1650.450631,305,156.615099
-1590.797295,283,157.092972
-1504.367206,259,157.555727
-1491.170389,220,157.97205
-1404.443701,273,158.457868
-1350.191735,252,158.925489
-2189.834642,271,159.408381
-1703.006042,256,159.873952
-1493.465396,273,160.357377
-1931.234754,363,160.971083
-1531.363877,254,161.439611
-925.308876,282,161.930858
-2262.81622,366,162.546228
-1417.644177,235,162.973628
-1888.222632,272,163.459665
-1129.011764,239,163.88938
-1504.341604,231,164.31796
-1846.974015,271,164.807247
-1399.104322,245,165.240835
-1069.769685,295,165.733469
-1949.171689,249,166.178199
-1843.302806,294,166.687969
-1176.278443,192,167.056693
-1144.227108,266,167.51865
-1636.964626,336,168.084167
-1816.206548,243,168.523091
-1556.655968,301,169.051557
-1177.373542,246,169.489556
-1397.953255,247,169.936932
-1743.215282,256,170.405383
-1888.0968,278,170.893713
-1610.579206,245,171.326998
-2029.855582,303,171.867511
-1540.376261,211,172.280857
-1664.927582,266,172.760429
-1586.403112,287,173.260095
-1615.731276,284,173.746843
-1313.16043,212,174.153248
-1556.151293,243,174.59272
-1685.052757,265,175.080271
-1911.465609,466,175.820591
-1607.398218,247,176.269788
-1703.711899,251,176.732742
-1653.837349,265,177.218259
-2145.693106,364,177.836668
-1696.678995,238,178.272645
-1838.240024,325,178.830499
-1793.399812,240,179.267598
-1313.456991,214,179.671463
-1470.867358,192,180.03899
-1355.866275,181,180.392024
-1337.032449,308,180.922873
-1715.104081,287,181.425117
-1441.602554,217,181.838483
-1698.155526,222,182.256973
-1525.246077,377,182.868318
-1436.064011,406,183.532228
-1786.502033,312,184.059616
-1495.433045,219,184.467959
-1694.486799,313,185.017284
-1692.509988,315,185.547949
-1432.529126,288,186.043444
-1843.951745,257,186.517704
-2011.726601,276,187.007202
-1956.445482,407,187.669992
-1672.491085,238,188.101556
-1145.191702,263,188.572449
-1193.80035,218,188.98715
-1907.853138,275,189.484158
-1899.86589,271,189.964586
-1430.463289,321,190.514887
-978.500003,257,190.984349
-1467.422009,253,191.449302
-1482.627996,256,191.927746
-1837.101525,237,192.361722
-1456.127753,233,192.787722
-1274.995045,246,193.229537
-2196.654171,367,193.840285
-1307.623468,210,194.248202
-1673.78056,244,194.692698
-1523.463036,267,195.16805
-1456.251264,285,195.670445
-1642.366991,270,196.156236
-1902.731807,261,196.633055
-1366.782602,242,197.062668
-1163.326205,307,197.601404
-2219.76072,298,198.11766
-1365.423511,280,198.603323
-1612.727102,280,199.10223
-2605.78191,526,199.927821
-2147.877996,508,200.720695
-1520.959891,261,201.196308
-2538.796661,344,201.767974
-1354.073662,226,202.193651
-1703.171649,252,202.658278
-1428.006518,294,203.151294
-1222.394616,245,203.591725
-946.842157,248,204.020308
-1546.744903,253,204.479879
-1711.240841,225,204.904718
-1786.594402,253,205.372052
-1534.366607,230,205.803556
-1154.280681,288,206.30447
-1690.46022,258,206.77861
-1347.07998,251,207.243324
-1530.514397,277,207.728489
-1114.962577,262,208.200483
-1587.842006,295,208.70384
-1566.312661,241,209.141215
-1467.337564,256,209.618283
-1297.79778,299,210.126248
-1509.346187,246,210.563627
-1571.394434,249,211.009749
-1668.164459,253,211.476411
-1468.540251,238,211.915535
-1609.59629,228,212.340487
-1422.695306,321,212.87832
-1754.614699,249,213.325532
-1586.662965,290,213.829467
-1929.631812,281,214.324295
-2130.897176,417,215.01374
-2011.058855,374,215.63435
-1513.154638,276,216.130311
-1635.093321,242,216.574956
-1392.125439,213,216.980746
-1499.792005,218,217.396087
-1778.744924,260,217.879508
-1696.16275,276,218.377415
-1451.69721,257,218.849676
-2273.138519,305,219.384968
-1502.376241,299,219.88539
-1954.069695,306,220.425664
-1585.297061,287,220.910753
-1289.034882,258,221.374744
-1507.024493,381,222.01257
-1914.81302,343,222.576653
-1373.119161,237,223.002012
-1160.10391,234,223.430358
-1480.975519,234,223.877643
-1637.567266,264,224.357504
-1662.767458,265,224.841674
-1685.725967,287,225.345319
-1579.618279,247,225.79227
-2570.552193,397,226.436972
-1864.554169,271,226.924503
-1794.165457,340,227.491611
-1547.544743,276,227.982714
-1464.070785,237,228.417303
-1796.678838,355,229.031117
-1840.855799,304,229.557821
-1308.758653,236,229.986633
-1594.818127,274,230.475025
-1515.578419,205,230.874476
-1478.344251,271,231.35892
-1658.70563,271,232.376865
-1638.447551,425,233.068632
-1561.458683,196,233.443867
-1582.035182,245,233.884659
-1462.754511,225,234.307591
-1767.550946,293,234.832442
-1535.996076,213,235.235746
-1624.298997,251,235.69388
-1237.218497,243,236.131378
-1324.534033,251,236.598067
-1067.44967,267,237.059215
-2061.368082,279,237.552485
-1534.887491,221,237.973361
-1521.618793,269,238.440275
-1953.181612,314,238.985762
-1570.137718,249,239.42619
-1594.074016,339,239.983327
-1528.182522,415,240.659764
-1352.610113,190,241.022489
-1725.027091,417,241.689703
-1858.312076,310,242.222189
-2356.676525,399,242.859577
-1389.220819,251,243.317158
-1314.088358,234,243.737082
-1696.339422,230,244.16583
-1734.235059,267,244.642189
-1821.636434,281,245.13399
-1501.565174,273,245.619325
-1430.982267,243,246.060189
-1653.367912,627,246.998039
-1447.912115,236,247.428501
-2305.485139,379,248.057857
-2040.838924,295,248.549062
-1314.467415,207,248.949471
-1234.86831,140,249.247995
-1270.992263,246,249.678647
-1470.219947,240,250.104899
-1808.861039,252,250.573004
-1311.886118,228,250.993704
-2160.544368,381,251.618677
-2244.336497,341,252.182783
-1645.066779,266,252.679025
-1672.124671,263,253.146354
-1735.048369,230,253.570783
-1339.733585,264,254.041086
-1486.907022,253,254.502908
-1560.813085,256,254.966808
-1373.314137,196,255.336246
-2234.462727,296,255.841974
-1475.432221,324,256.398954
-1491.018372,343,256.958718
-1311.455896,245,257.395509
-1369.199919,245,257.832835
-1678.491553,261,258.299174
-1552.078106,260,258.77643
-1550.725199,249,259.220471
-2202.79249,299,259.724929
-1428.328603,290,260.217072
-1455.992703,273,260.702852
-1902.882091,264,261.181433
-1603.597227,259,261.652969
-1608.819926,338,262.22111
-1506.644521,237,262.651155
-1966.184036,281,263.148617
-1809.674032,436,263.857532
-1254.446614,268,264.343156
-1241.592304,277,264.817669
-1368.664019,238,265.248262
-1683.841615,259,265.724001
-1387.156021,263,266.187449
-1307.012338,247,266.615587
-1869.97614,293,267.112094
-1938.500107,309,267.641652
-1831.729075,297,268.133707
-1600.310198,259,268.59259
-1722.307967,264,269.072243
-1602.316054,297,269.570434
-1573.016911,230,269.99065
-2031.252856,394,270.637738
-1467.585058,318,271.171208
-2022.745555,294,271.680423
-1587.769244,256,272.149609
-1783.96269,253,272.614265
-2085.089658,294,273.12081
-1593.756814,267,273.601598
-1911.525552,255,274.068261
-2004.64585,384,274.685463
-2503.357375,544,275.493472
-1721.825322,227,275.913109
-1314.665693,315,276.446285
-1873.072683,248,276.885295
-1810.696433,346,277.4493
-2094.579868,329,278.005298
-1423.702912,289,278.508712
-1553.781116,251,278.965618
-2182.682261,275,279.451493
-1410.020137,254,279.921715
-1612.844998,250,280.366774
-1863.585378,293,280.869957
-1825.1945,272,281.35876
-1337.723512,195,281.729535
-1848.979641,270,282.21102
-1447.639205,208,282.609293
-1763.206402,238,283.041003
-1795.150942,287,283.536359
-1517.230292,309,284.071664
-2295.428922,332,284.632431
-1624.903232,410,285.295471
-1586.626665,266,285.774084
-1502.663253,394,286.40603
-1616.767374,220,286.820422
-1879.561363,380,287.45706
-1908.766313,275,287.945406
-1006.766044,334,288.503308
-1850.052294,372,289.113097
-2020.438509,263,289.586452
-1502.629095,218,289.997507
-1624.790719,250,290.441153
-1006.862445,256,290.902482
-1585.985762,239,291.336199
-2193.858798,417,292.013941
-3173.333224,348,292.584033
-1765.595513,272,293.068034
-1468.540294,306,293.605352
-1656.709957,280,294.099092
-1961.820651,270,294.583418
-1946.074339,286,295.078559
-1775.381491,231,295.510555
-1902.702621,335,296.066943
-1700.729929,256,296.551629
-1543.133156,272,297.020801
-1521.989025,207,297.422689
-1939.286694,389,298.079775
-1325.201597,244,298.517691
-1035.998762,270,298.98159
-1667.756985,282,299.471749
-1724.880553,260,299.946331
-1475.39754,290,300.44893
-1794.624631,368,301.061175
-1621.860023,342,301.654453
-1204.06093,245,302.090992
-1519.113351,246,302.5323
-1019.548286,250,302.963846
-1001.975225,287,303.450214
-1821.683871,435,304.156394
