#{"t_start": 1699576918.551292, "env_id": "modulatingEnv-v2"}
r,l,t
-1528.758347,408,1.095356
-1087.948007,280,1.59057
-1499.168916,243,2.035599
-722.067733,290,2.512147
-1494.038755,255,2.949166
-875.008954,271,3.394817
-1274.020522,253,3.828295
-1253.29391,256,4.300942
-1366.640291,457,5.006884
-1016.274506,198,5.358938
-1510.514506,261,5.821454
-1339.718466,324,6.382017
-1377.109601,208,6.767613
-1122.022508,273,7.226582
-891.056868,413,7.857661
-1402.125294,238,8.261939
-1094.675385,236,8.661479
-1524.439597,281,9.121201
-1435.773187,277,9.579484
-1913.310133,419,10.217856
-1404.337853,216,10.60138
-1120.52815,251,11.031659
-1510.334505,303,11.535448
-1315.113463,242,11.94487
-1117.8467,243,12.350738
-1297.316579,260,12.793291
-1085.565655,300,13.26405
-1021.790515,342,13.794506
-1071.639277,229,14.190584
-828.593807,261,14.633673
-1168.133925,204,15.007171
-965.571031,302,15.498852
-960.808087,290,15.961403
-835.183658,257,16.393127
-1437.686775,230,16.783651
-1170.850653,242,17.188726
-1264.767761,384,17.770782
-1069.142435,282,18.228818
-1252.435263,249,18.638408
-1167.316788,251,19.072453
-1656.759447,391,19.665548
-1296.633868,287,20.132699
-1442.189749,274,20.592083
-1421.371666,228,20.98751
-1507.25961,285,21.451725
-1257.488095,246,21.864549
-1332.025352,266,22.309618
-1251.43456,226,22.705654
-1136.043948,241,23.113348
-1259.23493,244,23.52181
-1273.622584,243,23.923148
-1392.345314,269,24.373702
-1358.388201,252,24.804341
-913.19826,294,25.277627
-1490.022086,294,25.747535
-1825.386475,321,26.262888
-694.794058,282,26.718217
-1548.016761,273,27.168269
-833.519337,243,27.574206
-1165.518348,368,28.403569
-1190.120845,223,28.805454
-1356.77011,295,29.300833
-1525.628884,246,29.730494
-1361.40192,212,30.11399
-1437.552833,282,30.575979
-1295.822911,216,30.961967
-1410.431737,268,31.411596
-1089.392575,284,31.871052
-1424.96484,262,32.31635
-1582.261986,295,32.791006
-946.222051,248,33.211333
-1152.067702,224,33.617197
-1600.7361,346,34.153934
-1467.152485,256,34.595006
-1229.287475,350,35.136305
-1209.53272,264,35.582284
-1142.472709,298,36.059423
-1313.500747,229,36.457571
-1470.024175,264,36.907128
-1263.668706,205,37.28232
-1005.059084,299,37.756847
