#{"t_start": 1693501625.03631, "env_id": "plainQuadruped-v0"}
r,l,t
-14330.179828,801,7.728307
-223.338682,557,10.432092
-4373.310946,888,13.834638
-136.119518,533,16.483041
-147.779841,471,19.022347
-4362.002987,1012,23.60091
-248.791194,605,26.593301
-232.929667,470,29.272385
-17370.684364,874,32.945001
-156.192394,307,35.144075
-173.528521,400,37.51342
-144.320134,462,40.203793
-8862.920365,546,42.892718
-182.753649,396,45.628201
-128.664699,531,48.240571
-163.078578,328,50.452578
-117.532237,507,53.046932
-245.216399,650,55.907988
-154.595479,598,58.624454
-168.414725,382,60.883503
-163.699396,408,63.200606
-169.912461,489,65.694869
-8350.083288,762,69.430259
-213.250851,773,72.519062
-166.770168,450,74.930249
-176.140952,568,77.562638
-139.143504,652,80.322141
-164.384639,414,82.618225
-174.403668,482,85.096474
-364.930928,881,89.055067
-146.811668,436,91.379175
-157.253074,658,94.239771
-149.813038,446,96.770067
-326.469246,943,100.283255
-130.116859,470,102.695444
-197.79696,618,106.148897
-14972.3081,568,108.835335
-158.05339,361,111.057351
-159.529102,556,113.950977
-115.484069,359,116.172993
-178.273433,838,119.554061
-415.828397,755,122.54978
-143.403915,413,125.384351
-246.195633,660,128.395084
-16974.095493,1056,132.330655
-147.190486,482,134.911997
-147.049537,496,137.507352
-173.544875,411,139.888513
-201.910551,608,142.723085
-157.861333,514,145.839913
-262.631333,870,149.317069
-189.14762,435,151.723252
-10910.351114,674,154.57484
-11827.870607,680,157.49449
-14951.067104,844,160.689388
-158.822128,669,164.327689
-163.750613,351,166.505666
-11328.011628,826,169.65152
-241.388958,684,172.710296
-203.098553,787,175.871496
-188.473779,413,178.327724
-349.17997,1144,182.740729
-215.528767,483,185.259014
-141.862476,403,187.631166
-167.735287,478,190.273564
-126.968364,447,192.738801
-13296.882814,807,196.008769
-20002.878195,813,199.188653
-429.596093,1308,204.037053
-298.092893,604,206.806566
-289.31257,729,209.88536
-364.451413,555,212.486721
-260.245475,1026,216.091992
-159.700618,345,218.938575
-365.527138,566,221.773147
-881.544935,1031,225.623641
-13896.227321,954,229.063762
-10308.528823,777,232.121538
-325.182436,804,235.856928
-172.813472,593,238.669479
-153.774452,388,240.938539
-13405.836648,542,243.502865
