#{"t_start": 1693700338.5953646, "env_id": "plainCPGEnv-v0"}
r,l,t
-2454.314751,472,2.901586
-2601.880504,411,3.794396
-2890.98736,586,4.985477
-3140.610139,868,6.554901
-1610.123223,596,7.824053
-2735.222383,567,9.036153
-2714.593692,641,10.911855
-2678.660521,578,12.144974
-2617.612762,452,13.153889
-2807.917018,604,14.460074
-2458.387902,401,15.282821
-2675.007499,523,16.319651
-2744.673151,749,17.969835
-2558.848363,524,19.220163
-2841.971597,784,20.996778
-2556.396312,513,22.087768
-2597.228779,654,23.462857
-3366.506278,1181,26.077573
-2402.2472,462,27.259143
-2683.460543,525,28.321565
-2786.179702,744,30.182286
-2211.08377,349,31.163121
-2561.961144,627,32.719774
-1917.179311,406,33.682857
-2713.668977,613,35.204895
-3314.898357,1029,37.566056
-2610.892969,543,39.359424
-2734.623204,532,40.731077
-2554.243308,594,41.95157
-2841.500554,615,43.191696
-3610.260778,1351,46.154557
-2848.895777,850,47.934655
-1839.625267,549,49.585507
-3136.251607,972,51.710435
-2915.081898,690,53.290953
-3642.821535,1226,55.466582
-2946.77668,641,56.79879
-2509.414417,417,58.198059
-1839.11773,313,58.91571
-3428.994353,1028,61.105008
-2877.431492,547,62.422425
-2415.257438,475,63.638528
-2429.966322,355,64.601401
-1853.709245,299,65.468188
-3153.58966,860,68.076247
-2390.412285,383,68.996477
-2581.967934,500,70.147522
-2535.309034,431,71.201478
-2097.108141,479,72.354524
-2475.011635,409,73.384459
-2217.35022,592,74.81334
-2660.635948,464,75.962272
-2299.061254,388,76.945164
-2709.119952,498,78.642704
-2806.197056,614,80.009945
-1998.324448,458,81.109299
-2365.639919,337,81.998272
-2660.352302,585,83.500181
-2774.734171,798,85.500997
-2375.256282,610,87.285267
-2524.513238,362,88.245076
-1871.823302,376,89.459086
-3243.185007,1058,91.526928
-3015.268749,685,92.947217
-1812.383582,911,94.974638
-2885.749453,798,96.762766
-2196.803798,1091,99.65745
-2699.399792,557,100.903581
-2257.932712,395,101.852442
-2400.997762,665,103.518514
-1370.709381,373,104.557225
-3317.79025,1073,107.188611
-1591.138563,636,109.223458
-2060.579422,617,110.587654
-2701.197175,715,112.266015
-2584.891692,617,113.720062
-2521.635176,495,114.913144
-2502.226441,567,116.293397
-2749.578057,936,119.004869
-2526.291371,501,120.136762
-3067.300909,1010,122.537432
-2828.925322,775,124.494208
-2663.835385,622,126.024596
-2879.240107,571,127.455665
-2081.301816,616,129.462183
-2794.991414,866,131.368483
-1725.327191,452,132.45647
-1676.656381,483,133.616926
-1118.359367,1264,136.496249
-4002.368818,1843,141.05553
-2140.302257,496,142.326466
-2274.317024,429,143.475442
-1730.517285,349,144.411291
-989.289579,507,145.775529
-2585.808318,498,147.052688
-2990.814,715,148.805015
-1233.031206,502,150.536299
-2742.375296,614,151.888526
-3029.856924,681,153.466965
-2184.798097,704,155.143925
-2248.606396,848,157.133652
-2734.330433,646,158.665754
-1694.38215,617,160.684244
-2599.378304,513,161.905861
-2323.352263,617,163.404384
-1444.31718,786,165.359202
-2781.651097,713,167.119799
-1115.861749,515,168.440997
-2878.804042,578,169.882568
-2662.696167,723,171.954539
-2524.59417,737,173.563999
-83.349763,1046,175.909127
-1670.596211,407,176.91102
-1019.654495,465,178.093908
-2486.32611,538,179.418109
-2996.154279,2164,184.899025
-656.092997,360,185.843882
-732.874018,438,186.97591
-1158.192276,730,188.799176
-1587.497846,322,189.562397
-2099.462992,543,191.033926
-2724.879422,825,192.744061
-2805.233107,698,194.086781
-3411.313012,1164,196.402439
-2092.002572,830,198.22502
-2038.558387,581,200.079239
-1727.114079,752,201.773927
-1106.384852,426,202.867486
-2298.379168,559,204.29477
-1287.333687,372,205.256643
-2016.160963,338,206.151455
-1087.329186,302,206.965193
-1568.422757,359,207.863008
-1584.964861,736,209.650399
-2674.773666,1411,213.138025
-2327.186764,614,214.53001
-1224.369953,506,215.74717
-537.090046,1049,218.167392
-991.04742,559,219.538637
-2002.024378,1512,223.543871
-1450.258222,332,224.407655
-1798.151248,709,226.168252
-1336.301029,280,226.929943
-500.031977,699,228.652371
-2499.516422,498,229.883552
-2352.520724,459,231.423819
-1008.380293,336,232.189306
-699.309017,581,233.494489
-1006.07077,318,234.270703
-2404.422069,866,236.222943
-3492.440682,1216,239.077534
-3092.60096,1066,242.114996
-287.438373,551,243.374026
-205.550953,406,244.337899
551.273569,2045,248.820856
-1300.263975,560,250.661428
-275.872878,2171,255.226921
-969.166484,638,256.727309
-2779.588994,819,258.624099
-1395.994505,289,259.45185
-2087.07992,1580,263.566619
-2666.265172,983,265.886907
-657.207404,618,267.426304
693.235793,2228,272.775893
-143.181186,2295,277.762151
-2793.333392,704,280.06232
-1869.850944,827,282.059648
-3369.124057,3095,289.078965
-65.596073,820,291.413976
-1638.266969,495,292.537117
-2977.969667,741,294.211391
-2070.177997,524,295.45452
-1949.254852,802,297.286181
-2058.443287,910,300.054797
741.966515,1272,303.065395
-364.133302,669,304.651835
-657.967204,657,306.252938
-2366.688069,859,308.323797
-3630.83732,1212,311.519467
-134.71659,1352,314.49484
-1980.858115,386,315.440217
-3265.701923,1584,319.129565
-82.662732,547,320.962997
-504.73415,337,321.856808
706.669727,641,323.319319
6178.692096,2995,329.054072
-2344.88849,726,330.587463
-2549.05911,444,331.654468
-2776.105862,654,332.850483
167.784942,946,334.446933
1630.945656,1386,337.403654
-443.194641,1431,340.720592
-1290.842335,428,341.869635
995.577991,1120,344.592013
-2538.347706,1644,348.792894
9204.619183,4151,358.477996
4760.146292,2408,364.163036
504.129623,2225,369.561667
-157.900913,461,370.695696
6660.09017,5001,382.39983
3792.075724,2592,388.716532
2230.789544,2441,394.21505
3924.779154,2089,399.387365
11398.37563,4910,410.869684
11239.69608,5001,422.654805
12219.170929,4698,434.008277
11421.962684,4696,445.10616
12301.210085,4440,455.193676
12467.804619,4304,465.608798
11963.679378,4493,475.887818
12438.998308,4018,485.539046
12290.839636,3984,494.565319
12214.44079,3771,503.873276
12360.670632,3846,512.867647
12300.714207,3613,521.514754
12459.922522,3407,529.035685
12599.581342,3121,536.424836
12997.722478,2790,543.305943
11955.732253,3425,551.323317
12051.859035,3661,560.257517
12720.538165,2976,566.792823
12950.051269,2853,573.420288
12814.075142,2642,580.232509
12967.979993,2810,586.62693
12749.288989,2892,593.452194
13093.971713,2579,599.975333
12928.474022,2614,605.911206
13096.066361,2447,611.744021
13031.629427,2463,618.221016
12719.885,2697,624.237765
13275.315266,2414,630.068743
