#{"t_start": 1693703508.8380504, "env_id": "plainCPGEnv-v0"}
r,l,t
-2576.950768,557,4.644333
-2944.568146,731,7.310241
-3177.59996,958,10.669097
-2595.283923,461,12.663584
-2859.546271,686,15.165061
-2979.120311,931,19.041837
-2974.02226,665,21.446559
-2604.865038,469,23.342916
-2567.153457,465,25.270295
-2600.945144,563,27.529912
-2862.911782,815,30.379952
-2785.959209,625,32.662586
-2792.485968,516,35.252439
-3038.92154,759,37.952372
-2772.688499,511,39.89176
-2776.656474,665,42.335508
-2623.538785,482,44.296912
-2858.270672,827,47.470919
-2817.351361,742,50.853325
-3093.677597,824,54.09404
-2570.587333,481,56.027425
-3411.39186,1325,60.427862
-2439.371076,352,61.922932
-2529.509729,596,64.238591
-2504.323399,453,66.782712
-2895.97261,833,69.72382
-2575.049542,472,71.593158
-2798.791149,714,74.14499
-2869.644226,712,76.739853
-2707.613331,593,78.95144
-2842.634216,663,81.409621
-3304.18957,1201,86.457253
-2575.563744,508,88.433669
-2713.720609,621,90.749328
-2781.110327,780,93.578358
-2867.585008,788,96.378366
-2830.693175,825,99.968367
-3153.079089,941,103.333521
-2621.432291,555,105.506883
-4824.507867,2384,113.965565
-2891.952019,1582,119.213259
-2716.317668,1006,122.673741
-2765.596616,900,125.860026
-4461.020983,5001,143.18435
463.750753,3259,153.669018
-3010.982368,777,157.168568
-2968.417313,809,160.058641
-38.670676,1412,164.878094
-2738.72132,566,167.027635
-280.66236,4807,183.490549
-1557.482966,1627,188.870512
-1793.87015,1218,193.132321
-3639.793238,1421,198.85123
-306.550553,849,201.9362
-1293.130327,2119,208.811408
-2988.163815,1285,213.919726
5916.116589,2533,222.221456
-1986.445149,533,224.283077
-2718.727065,1268,229.468427
4652.025197,3636,241.90274
3128.054386,4083,255.553545
15497.036875,3981,268.422786
21286.092416,3647,280.700608
19688.00539,3574,292.847832
-2574.408765,1475,298.502515
19128.209627,3962,311.791161
6531.837395,1824,317.7995
15174.590174,2790,327.48268
20633.776696,3189,337.850166
8880.907259,1771,344.817838
19680.550045,3265,356.21824
6898.438371,1796,362.568784
2114.236515,1086,366.426546
21303.376535,3149,377.443624
7567.545776,2204,385.493387
1554.450608,1072,389.318289
21358.986631,3218,401.266406
19560.565411,3183,412.594072
21212.431143,3327,423.923696
21637.449243,3025,434.804879
11868.16199,2274,443.265609
11126.3193,2276,450.888484
21133.429392,3229,462.111805
21146.212474,3093,473.12631
22344.705507,2952,482.843804
21885.697137,2937,493.209518
20976.521711,3462,505.15637
20781.342518,3220,516.330669
22455.889815,2799,526.094507
21979.667661,3125,536.472514
20922.776364,3075,547.270491
2982.20338,1238,551.478737
22368.86239,2836,561.432535
21241.618254,3124,572.824854
912.255649,931,576.152417
817.6196,1000,579.696146
22245.310466,2948,590.101677
708.562168,790,593.063958
22591.624121,2970,603.48473
21974.71549,2882,613.650566
22572.738262,2838,622.803616
21651.903582,3113,633.742047
2377.000597,1160,637.844207
22229.396803,2951,648.196284
292.304772,879,651.375733
21722.643132,3230,662.706741
15285.786097,2285,671.051172
13690.683027,2676,680.055107
22498.664174,2783,689.835642
21485.271867,3161,700.997243
8513.640755,1850,707.178004
21667.177164,3036,717.963325
21904.211061,2946,728.292233
15829.337268,2723,737.294167
3790.956403,1347,742.584594
22242.647784,2918,752.176983
15764.572529,2703,761.807529
22231.22613,2984,772.259611
22603.161621,2770,781.381638
22037.831206,3269,792.754397
22668.292926,2889,802.829165
22475.029773,2982,813.481375
22535.289498,2926,823.049745
1920.670968,1112,827.561224
22663.770496,2849,837.362774
22985.661064,2786,847.315591
22625.702198,2921,857.693588
22767.169685,2948,867.412074
22491.455147,3129,878.549655
22160.275691,3268,889.980693
22741.625615,2964,900.590867
21983.815348,3123,910.788723
22702.237459,2970,921.312397
22613.830052,2960,931.680393
22447.080942,3044,942.26355
22648.067244,3036,952.177187
22127.481466,3057,962.847956
22832.272726,2766,972.545559
22881.118931,2731,981.630556
22485.427994,2897,991.728198
22356.197344,2867,1001.802908
22917.207229,2707,1011.473361
22980.656592,2583,1019.977911
22334.216996,2782,1029.767567
22931.888139,2543,1038.13201
22970.428654,2545,1047.236701
22977.227501,2526,1056.177592
21717.582901,2757,1065.434722
22377.204843,2598,1074.813444
22980.646928,2362,1083.251948
21812.609214,2673,1092.181826
22026.045808,2711,1101.788233
21626.648094,2677,1111.544753
21654.550379,2487,1119.657002
22631.840762,2446,1128.546855
21904.539353,2812,1137.646864
22462.106273,2515,1146.838951
22606.463433,2404,1155.625723
22374.655517,2669,1164.244362
22658.623682,2573,1173.570828
22019.222345,2478,1182.494708
22961.695538,2438,1190.615964
21455.486547,2664,1199.982186
22865.583867,2578,1208.540779
23108.370333,2362,1217.018158
22765.697225,2549,1226.317982
21855.472836,2558,1235.395017
23065.58925,2416,1244.541412
23184.13125,2373,1252.431568
7779.819045,1544,1258.283038
22055.010644,2689,1267.135289
21196.377922,2600,1276.588076
934.455011,659,1279.031958
1307.861163,872,1282.350725
22423.023564,2396,1291.101924
14130.149238,1982,1298.62059
22312.603905,2420,1306.673678
21828.65243,2390,1315.662832
19555.074143,2764,1324.938917
22305.351773,2530,1334.069674
21388.98099,2633,1343.170476
22794.299254,2326,1350.70265
20982.391856,2855,1360.424754
23194.740674,2364,1368.06653
1193.890661,798,1371.663269
23038.879886,2396,1379.731096
22868.389135,2339,1388.482064
22040.215164,2525,1397.101104
22193.03815,2517,1406.160007
22769.297022,2614,1415.467677
22249.666003,2532,1423.915831
22934.709552,2531,1432.71402
22439.64847,2505,1441.817737
22277.78665,2567,1450.324176
23074.121194,2415,1459.07181
21416.376625,2728,1467.962237
22643.381984,2601,1477.174072
22983.298704,2611,1486.344365
23060.20151,2631,1494.94852
22981.464326,2658,1504.745492
22853.626518,2722,1514.281168
23084.997436,2695,1523.240519
23085.362455,2744,1533.016924
23261.277473,2624,1542.567462
23228.9534,2653,1551.246715
23088.673078,2562,1560.400024
23347.86016,2539,1569.300915
23461.148239,2404,1577.112659
22701.008941,2532,1586.174483
23192.267569,2406,1594.177436
23561.653192,2306,1603.134766
22838.302697,2546,1612.381029
23230.839018,2303,1620.201016
23089.969925,2283,1628.496098
23063.056145,2341,1636.576052
23156.440017,2278,1645.098031
23052.803886,2293,1652.588212
23091.810456,2334,1661.20315
22033.099375,2327,1668.880438
22938.243377,2228,1677.045483
22479.797822,2438,1685.850014
22408.635946,2515,1694.30077
23021.155191,2223,1702.578776
22976.988298,2223,1709.883751
22211.663206,2306,1718.121467
23094.556629,2169,1725.555539
22972.822472,2214,1734.112263
22636.807002,2331,1741.959424
21766.876075,2468,1750.982204
22836.19835,2325,1759.577377
22753.788723,2286,1767.321297
22689.065172,2277,1775.642998
22969.800409,2217,1783.204962
22528.965008,2327,1791.801431
22589.584135,2306,1799.678456
23054.962278,2223,1807.98951
22709.114752,2464,1817.000058
23528.691142,2115,1824.196574
23269.819402,2221,1832.323176
22745.309029,2291,1839.709626
22722.341947,2339,1847.969538
22713.262468,2240,1855.434844
23061.843161,2289,1863.533058
22573.957005,2211,1870.994004
22967.218717,2345,1879.486501
22636.206637,2383,1887.784492
22255.715821,2690,1896.460547
23063.904916,2178,1904.278022
23208.59241,2214,1911.868812
23152.267634,2364,1920.405885
23187.1008,2163,1927.505631
22907.683413,2222,1935.732728
23137.503401,2179,1943.340047
23128.639723,2443,1952.266333
22511.198499,2280,1960.284982
23322.490136,2149,1967.258312
23344.926534,2084,1974.8812
22110.394906,2350,1982.450468
22953.62736,2315,1990.654927
23220.920129,2202,1997.843814
22468.715733,2382,2006.164704
22587.943781,2315,2014.509176
22946.782051,2284,2022.48151
22766.965914,2389,2031.135017
22477.944011,2304,2038.740177
22791.397602,2240,2046.890535
22500.629465,2364,2054.877115
22351.87504,2444,2064.357865
22899.245338,2350,2073.141498
22943.702343,2232,2080.655579
23019.414951,2171,2088.600214
22777.421544,2251,2096.14532
22791.797835,2225,2104.632838
21976.637822,2285,2112.172981
22878.816652,2158,2120.058714
22442.769251,2155,2127.105942
23100.023058,2048,2134.643339
22813.835372,2311,2142.321173
22865.695682,2247,2150.485664
23304.032406,2049,2157.458445
23088.220058,2265,2165.743857
23285.056371,2115,2172.81037
23437.666394,2089,2180.506536
23108.731313,2097,2187.672441
22885.199711,2292,2195.746938
23205.994804,2114,2203.489197
22837.158468,2121,2210.459903
23032.174507,2223,2218.632501
22225.599679,2266,2226.128476
22953.591856,2232,2234.28514
23201.201103,2122,2241.440991
23320.830095,2052,2249.108209
22973.772659,2069,2256.123791
23503.555097,1893,2263.240689
22740.81619,2283,2270.735243
23027.603497,2135,2278.681662
