#{"t_start": 1695853443.2214494, "env_id": "plainCPGEnv-v0"}
r,l,t
-782.714632,1205,6.171919
-1381.451365,968,8.080653
-1545.686402,488,9.165638
392.243007,1088,11.538794
946.80616,1254,14.242249
-1385.785715,658,15.706579
-1754.257856,844,17.575277
-940.94046,1375,20.555984
-2620.007275,749,22.850413
-1143.468158,743,24.477891
-2882.231889,876,26.49072
-2284.276852,557,27.857961
-518.663893,599,29.268242
-2415.538831,745,30.957777
-1705.221799,1446,34.096628
-1298.053648,1045,36.373696
-2896.274551,1421,39.458498
-2245.1173,832,41.767595
-2463.337818,661,43.204901
-1726.408922,454,44.284882
-1953.917474,644,45.869321
-576.670382,1355,48.93911
391.767368,1502,52.202073
-1504.734083,718,53.861005
-1827.208957,1971,57.215051
-869.968636,1296,60.026605
-813.272499,751,61.575011
212.453293,2182,66.279284
-1867.786088,623,67.775643
-964.369959,905,69.828508
-2538.439557,984,72.01149
5520.407917,4730,82.135686
-557.362833,729,83.810208
-24.117215,1781,87.88691
-1387.388187,932,89.993824
-834.286359,683,91.513204
-1104.998292,677,93.041592
-1604.911418,625,95.05522
-965.970207,669,96.386429
-445.545289,556,97.58752
-1568.517048,1692,101.186789
-779.253783,595,102.535014
-653.910468,808,104.420726
2988.612587,1486,107.894882
-716.352203,634,109.381232
-2514.044566,713,110.984689
-785.878031,572,112.284869
-2877.858032,1265,115.372674
-828.724917,550,116.55675
-1102.612096,548,117.768851
-923.509247,977,119.913798
-628.736248,564,121.204972
-1729.329824,698,122.907518
-164.080324,1821,126.86211
-24.914103,1804,130.782671
200.932347,1593,134.555098
-3.176688,511,135.689127
-442.114705,2678,141.30623
1751.228755,2035,145.71123
-1453.787555,849,147.651994
-1863.218908,731,149.298489
-1198.522051,638,151.228241
243.505922,2176,155.708311
2025.69554,3129,162.319316
-501.664766,575,163.660534
3970.697912,2718,169.959352
-1317.439059,477,171.007304
-730.515963,1206,173.589649
-1238.126941,839,175.465353
-838.458501,1481,178.601202
266.697008,1372,181.544875
-625.613239,1626,185.148148
-1500.802631,689,187.272077
765.84026,1803,190.947416
-1567.53225,751,192.605922
-1110.994578,679,194.11229
1300.443293,1532,197.376255
-1523.05999,537,198.617382
-563.07405,1000,200.889446
192.642765,2047,205.935029
2956.445868,2954,212.00254
-622.348738,1054,214.309635
8590.810586,5001,225.518817
2511.923485,2267,230.353208
-468.279087,1259,233.099702
-673.273773,1053,235.369764
-1308.437681,1247,238.078224
1193.674113,1092,241.158021
-220.977607,795,242.820532
-540.213777,716,244.438001
-99.285258,752,246.153559
-916.069454,1093,248.574758
2160.098566,1755,252.333172
709.639355,1003,254.534171
333.663724,773,256.25073
-1615.597535,840,258.172476
-574.891332,571,260.079207
-692.067074,1020,262.150089
-1099.350552,872,264.131888
804.149404,2019,268.428791
736.978508,1347,271.328425
26.90516,1103,273.715594
1320.69562,1229,276.439067
1502.048469,1149,279.497998
-1301.224808,888,281.531846
-1865.443728,784,283.290443
-363.14308,1314,286.156046
737.548589,998,288.304998
-398.755859,1626,291.744122
1107.92181,777,293.463683
48.667093,671,294.961044
-469.209712,478,296.629559
447.15216,804,298.294071
-504.291321,1639,301.961402
-821.676195,1082,304.360581
-416.29377,709,305.94402
2036.877844,1991,310.276955
-906.70889,734,311.977499
-479.165277,694,313.534914
-127.801752,650,315.553748
-909.014729,2333,320.583316
-352.63636,1479,323.976398
-371.061738,724,325.628899
-263.316908,845,327.530626
914.499376,2735,333.816336
-1184.64717,635,335.066471
-920.710077,1632,338.484576
465.987947,802,340.285211
1013.518213,781,342.084846
2042.389299,2320,347.003314
-682.61354,796,348.779927
1826.011125,2401,354.167821
1128.911583,1321,357.01841
356.462803,824,358.922139
-454.035761,633,360.373461
-545.603672,761,362.088014
-699.787086,1014,364.346066
2487.586584,2257,369.169447
652.000871,4764,379.37572
-485.519805,683,380.976173
153.397429,905,382.952969
293.427804,843,384.855697
-881.507934,720,386.49919
-1615.375269,2458,392.022206
-579.411298,996,394.149138
-397.283501,889,396.136944
-933.843689,1047,398.595176
-1323.253071,1371,401.597904
126.158786,801,403.400542
-2820.938637,2110,408.246943
-250.869729,642,409.64121
-864.743372,1090,411.960316
-648.779194,1162,414.423554
60.509345,1613,418.126917
286.234439,790,419.950573
453.596528,2344,424.800979
-1007.671497,973,426.539558
-696.313484,720,428.137009
-1539.836116,1248,430.572222
79.161666,1170,433.107846
-1981.093084,2241,437.00939
-488.251208,771,438.774445
-2499.733056,2952,444.847961
-1392.131916,705,446.384357
1335.220055,1088,448.782535
-1061.795958,1293,451.494998
144.724203,907,453.460784
603.182123,2632,459.867604
-852.302278,928,461.997538
-420.236492,1185,464.146489
1188.909832,1566,466.768872
-2418.197556,1657,470.035839
16.933354,988,472.120733
-1942.453026,1550,475.705989
1774.215376,3415,482.62127
6334.459859,5001,492.496681
-751.888672,1363,495.594473
-270.689489,751,497.023424
636.789996,1195,499.630326
1007.432572,982,501.51704
1935.69464,2074,505.595199
361.263495,670,507.087418
96.541595,1062,509.820067
