#{"t_start": 1695858145.5150359, "env_id": "plainCPGEnv-v0"}
r,l,t
-763.478323,432,2.960492
-1598.390389,596,4.171017
-1134.473405,432,5.188943
-1160.657924,349,5.967651
-1400.380554,601,7.277841
-976.215778,489,8.387784
-1129.115789,419,9.548263
-1236.803118,429,10.516039
-1087.063026,452,12.048635
-1072.084314,663,13.689997
-912.230129,855,15.47046
-848.962351,398,16.222674
-1292.014215,1358,18.74578
-847.262678,429,19.695392
-1249.671565,422,21.137704
-1034.563147,357,21.944437
-693.743631,527,23.14853
-1067.314164,449,24.273605
-833.508592,467,25.457635
-1184.908157,516,26.793389
-900.404824,492,28.026509
-1003.079597,582,29.374734
-794.208319,612,31.295478
-1040.802452,437,32.254334
1112.588366,1801,36.017488
-872.321475,363,36.954584
-1766.748106,936,39.027624
-730.877718,533,40.77836
-243.69927,490,41.927704
-945.902621,462,43.055728
-791.098983,429,44.144877
-1102.212754,404,45.19559
1552.783454,1492,48.470804
-986.102861,566,49.516754
-2682.797695,1487,52.646626
178.809296,724,54.211854
-2849.499345,883,56.242471
-2210.775023,946,58.143957
127.25702,1086,61.0229
-929.449097,365,61.847468
-732.862604,1103,64.320181
-935.834103,386,65.334365
-1432.259502,700,66.846646
-1578.386686,963,69.05168
-1068.655239,730,70.758016
-624.938348,932,72.612701
-835.15921,641,73.951917
-620.364108,609,75.263515
-873.418426,1072,77.985698
-1131.109015,857,79.768317
-1397.430295,845,81.713084
-595.554735,668,83.085793
-1260.131244,558,84.154508
-1154.025154,1110,86.446589
-163.37285,519,87.700729
-757.617218,396,88.645608
-1057.297125,413,89.482826
-2381.644846,800,91.058655
-295.200177,725,92.417522
-680.974152,656,93.732691
-382.655983,523,94.824682
-869.939719,702,96.674363
-195.643993,497,97.763794
-79.629823,564,99.191734
-121.715702,963,101.052507
-762.686258,642,102.841697
-1981.768793,989,105.395973
-777.632996,569,106.689147
-994.770115,769,108.525816
-331.681151,843,110.590853
629.66613,614,112.001958
963.379388,1017,113.765561
-981.178252,541,115.218881
659.808611,1143,117.520281
229.938452,2472,123.470867
-1103.007094,477,124.482786
626.142006,1103,126.942756
