#{"t_start": 1695861443.218626, "env_id": "plainCPGEnv-v0"}
r,l,t
1848.111952,1102,3.838117
317.340877,944,5.430564
618.486367,924,7.042027
1805.59439,1228,9.85399
556.40134,885,11.833277
1647.062066,933,13.737006
1515.976272,1347,16.500517
3025.64969,2888,23.136792
2219.252251,1342,26.101485
34.747946,1408,29.607669
1073.140667,1040,31.839697
1409.502102,1728,35.46599
-488.991875,1374,38.741091
60.308108,970,40.781945
-1499.52965,2021,45.229349
1422.763486,873,47.653723
1416.408679,1127,50.065915
396.918156,1693,53.702218
1228.112759,1103,56.564011
1051.554643,1274,59.24945
527.112192,1031,61.584571
322.3452,1240,64.256998
1600.830493,1169,67.153267
-1046.309974,1959,71.392117
657.984481,741,73.051624
1420.284966,804,75.350333
1616.247017,941,77.387184
1330.436158,913,79.405585
1367.946612,1909,84.09116
1039.042759,760,85.856764
1690.085141,1210,88.534801
1272.609699,775,90.289395
-1524.677208,1696,94.380825
1181.104913,1088,96.713391
-207.711446,1230,99.325693
-211.215147,1169,101.859995
2678.357656,1435,105.455743
1488.118054,2707,111.21752
-234.947798,1068,113.931823
1467.920839,1864,117.82536
97.012214,889,119.762712
4019.21781,2575,125.917544
1048.088158,1035,128.161582
82.62274,933,130.682528
719.808946,892,132.518195
868.001885,1719,136.143488
8941.784689,4134,145.357718
1026.597239,909,147.360537
954.810676,3573,155.187781
1389.878678,895,157.133549
5639.008234,2761,163.345165
-1161.758456,1496,166.641159
599.090562,1152,169.530778
11085.579705,5001,180.377673
-885.043433,1108,182.903967
3074.906905,3518,190.764938
-218.923311,944,192.785773
4174.925074,2278,197.989345
-559.243796,911,199.97615
-477.234776,1449,203.174054
-130.843775,835,205.442114
1688.062197,1962,209.62091
-461.095093,787,211.357487
-403.832358,1033,213.950949
37.441019,1750,217.583248
-611.247923,931,219.692164
-536.045147,866,221.629924
-500.012469,1008,224.267317
-2067.549074,2458,229.536102
-1404.876213,1599,233.295655
-1187.709068,983,235.398565
1827.349938,2348,240.895835
-12.993281,818,242.77254
-238.795609,924,244.847425
-543.827281,911,246.884275
178.618087,839,248.762982
252.636743,944,251.282413
-860.804182,1134,253.817716
-448.066504,916,255.810526
-394.05888,919,257.762299
134.729322,889,260.22207
-163.391726,1140,262.681823
-65.427278,860,264.595561
-56.403893,852,266.486278
-108.453756,2016,271.141575
-1155.975807,1474,274.267414
-614.75156,1280,276.947849
447.410324,1563,280.642113
-211.899775,969,282.79759
-1047.104447,1150,285.30687
6886.478317,3778,293.572042
444.926291,846,295.358665
41.797146,1159,298.347959
1144.644766,1081,300.868248
281.816028,1143,303.40255
290.35556,1058,306.144145
704.700931,967,308.152969
356.112974,1176,310.620843
1328.789289,1446,313.767701
5366.93678,2711,319.794667
16195.266104,5001,330.846705
13549.982185,4793,341.133091
5027.605074,2528,346.911386
7736.477363,3641,354.849891
3641.70188,1897,358.879551
2674.857876,1824,363.190814
1876.853117,1285,365.885261
