#{"t_start": 1695864467.6593852, "env_id": "plainCPGEnv-v0"}
r,l,t
-2939.429894,1100,4.223068
-3276.058332,1463,7.047672
-2090.58377,1190,9.212814
-3784.167807,1412,12.472072
-1590.280976,1029,14.218724
-2923.563164,1188,16.555599
-3467.074253,1757,20.645033
-3673.241836,1429,23.868211
-3815.531319,1357,26.884631
-3840.218079,1465,30.4978
-4096.248566,1760,34.389027
-3393.461873,980,36.674103
-2111.445828,1203,39.635191
-2020.780367,880,41.749996
-2964.718327,1188,44.38539
-3378.475585,1217,47.527654
-2159.129483,1186,50.198079
-3685.67894,1232,52.994985
-1809.266783,695,54.572724
-4024.826967,1611,58.568357
-2178.486603,857,60.457525
-3250.29623,1299,63.222224
-3249.59364,1371,66.015761
-1842.399935,1101,68.443405
-4802.977712,1864,71.902578
-4134.420666,1532,74.91833
-2331.435711,1424,77.709853
-2727.638992,1342,80.519404
-5310.255815,2385,86.150398
-2232.217289,1223,88.99298
-3400.09256,1319,92.586379
-3355.85967,1827,96.343539
-1013.7203,1036,98.612589
-2170.208627,1314,101.716734
-2213.684656,1183,104.044767
-5010.918438,3883,114.956358
-4441.436925,1912,119.033061
-2007.314385,1197,122.373719
-3059.440151,2584,127.629416
-7201.793842,4300,138.824362
-1997.066867,1021,141.25457
-929.424774,2018,145.817343
-3375.547908,1653,148.869466
-2239.412697,1296,152.036713
-2602.833776,1553,155.534371
-1919.381811,2510,161.618408
-1818.781998,1121,163.861554
-1830.423509,4818,173.609013
-707.848808,1528,178.478553
-2318.482406,1224,182.718479
-1448.479577,1137,186.490433
4305.520629,2912,195.64216
-2475.409561,2069,202.236863
-602.141701,2742,210.808463
-2546.696311,1351,214.549014
-1476.916126,1168,218.408521
-1075.402271,4044,230.26793
-3314.428543,1673,235.713784
2046.872265,3186,246.7282
57.330913,2839,255.697637
15778.452189,5001,273.561431
-3309.710663,1923,280.089972
-449.893134,1382,284.829603
-2819.896262,2100,292.695952
-968.34489,1235,296.763265
-389.280814,3226,308.472317
2169.079887,2331,316.550237
-2390.185216,1813,322.294549
-2309.546849,1542,327.373696
16096.589447,5001,345.125089
-1447.583596,1317,349.432417
1325.151875,1552,354.487159
-1359.465053,1376,359.83738
731.186577,2933,369.18731
375.02819,3322,381.024816
-2852.426445,2339,389.318375
1373.453232,2366,396.989615
858.444719,1648,403.033438
-422.502027,1106,406.617121
-1153.846747,1591,411.728928
-1068.578106,1225,416.657161
-463.111245,1405,421.377653
-1394.514995,1404,425.966265
-3774.826819,2623,435.101287
-4193.662342,1794,441.660322
-851.934409,1612,446.916099
-1405.530283,1787,452.586575
299.312471,1367,457.983375
-1485.732735,1832,463.884662
1421.983425,2438,472.350857
-2115.687348,2713,481.131742
-602.906368,1422,486.419326
-145.121228,1603,491.555102
652.021417,1407,496.265571
-1914.558439,1434,501.74863
627.482552,1686,507.171539
-4444.249202,2425,515.880272
-179.640247,2632,524.355052
5376.585989,2818,534.529129
1174.73974,1333,539.145924
965.817941,2146,546.739034
1813.101691,1795,553.112495
11710.669285,4485,570.176455
682.240556,1201,574.667119
9717.426451,3207,585.938117
3937.347286,3288,596.701015
4500.71705,2667,605.96884
5588.586145,4730,621.591002
3383.3713,1558,627.61345
10846.656841,3447,639.612361
4298.359769,1736,646.317091
2771.333664,1678,652.153133
7338.560614,3459,664.262043
1600.65727,1497,668.808887
1494.812886,1490,674.166293
2038.686879,1282,678.257686
1659.937275,1619,684.283289
839.243492,1293,688.863789
-318.839688,1230,692.74368
452.333314,1288,696.986903
485.061353,1375,702.134209
648.631842,1357,706.248271
-348.390598,1116,710.287157
464.232974,1376,715.075754
-401.388963,1206,718.991582
44.539348,1226,722.994563
345.453503,1277,727.916329
-47.09279,1277,732.239185
50.867503,1336,736.996068
-258.548375,1296,742.132345
-857.627056,1287,746.447589
-530.727367,1189,750.70416
862.201079,1419,756.492247
114.219914,1402,761.032663
-133.484249,1333,765.408226
386.385111,1343,771.007482
302.269631,1384,775.597501
113.768169,1264,779.586442
-472.54748,1162,783.063034
-173.86511,1221,786.148345
-475.974015,1231,789.417642
309.864884,1156,793.245204
891.947933,1281,797.807648
385.9084,1136,801.573071
727.596818,1232,805.3618
425.355872,1243,810.22474
-261.938326,1136,813.84837
2646.517014,1259,818.036841
535.022682,1382,822.507124
221.393124,1187,826.989261
-27.294041,1233,830.955397
1099.525374,1327,835.11289
-428.362403,1169,839.754076
-554.392988,1155,843.467957
-242.214765,1183,846.992414
329.627651,1182,851.461058
559.20775,1218,855.433809
105.232948,1178,859.273664
1162.382812,1343,863.339108
247.042505,1203,867.916286
256.782163,1230,872.112685
1737.497352,1294,876.208978
345.956167,1152,880.4947
1087.788421,1414,885.022488
1022.33014,1218,889.041139
-69.712245,1492,894.395744
1656.843298,1397,898.997925
1342.588656,1429,903.575328
-28.433215,1112,907.885991
1252.799855,1406,912.600296
178.16272,1116,916.177488
793.883383,1335,920.964342
1310.13737,1320,925.404395
124.108476,1145,929.215857
761.614943,1264,933.349284
637.48536,1297,937.659551
89.271189,1158,941.504948
1457.074209,1315,945.964722
1674.146222,1321,950.728225
984.273596,1245,954.69381
17186.778645,5001,971.42818
1576.255433,1265,976.420844
559.320594,1335,980.661388
1381.349651,1233,984.380767
1566.901085,1335,989.114866
16868.075288,5001,1004.939013
16014.938566,5001,1020.662533
14482.954533,5001,1031.776098
14590.588147,5001,1046.352809
14744.937616,5001,1058.934625
13813.298118,5001,1075.041299
13918.850303,5001,1089.616428
2679.005044,1435,1094.199639
12861.547746,5001,1110.713564
16227.831843,5001,1127.540038
16004.757977,5001,1143.442556
1969.019495,1371,1147.87664
6251.498673,2196,1155.290781
15377.661913,5001,1171.581159
16131.457911,5001,1187.860475
13879.010498,5001,1204.647549
15731.501651,5001,1219.960169
4847.218201,1847,1223.958057
1712.761833,1231,1228.174387
3373.98752,1326,1230.680664
5832.182939,2139,1235.487156
2856.187995,1457,1238.784986
3724.638127,1456,1241.986338
5318.124777,1788,1245.792798
1689.705996,1397,1248.518744
7228.584663,2554,1253.734789
8370.187883,2656,1260.182775
1858.748357,1191,1262.953009
2651.073823,1454,1266.573863
4515.132722,1726,1270.377424
7214.282146,2314,1275.739612
1459.246931,1475,1279.045563
1722.963186,1251,1281.864122
1798.56571,1230,1284.926981
2411.3823,1316,1287.805452
559.184031,1202,1290.119055
3550.940361,1543,1293.707293
1332.721548,1331,1296.648381
6001.371333,1961,1301.361945
1435.060945,1373,1304.186351
1328.833165,1406,1307.275769
