#{"t_start": 1698171161.3994405, "env_id": "plainCPGEnv-v1"}
r,l,t
-2853.08771,435,1.410244
-2947.021514,511,1.920122
-2567.410841,667,2.592373
-2467.116846,376,2.976715
-2837.376989,656,3.595037
-3812.15641,888,4.384881
-1668.259338,307,4.709622
-2585.421339,437,5.159012
-2954.029873,684,5.787555
-2286.324463,324,6.155963
-1799.307155,334,6.497742
-2384.726468,306,6.823304
-2454.616294,320,7.15927
-3243.14526,633,7.739004
-1409.604505,303,8.061997
-2617.117341,425,8.482353
-2119.799634,454,8.912044
-1609.872377,311,9.238458
-2352.149134,307,9.561443
-3533.045184,623,10.14391
-2159.550657,365,10.50822
-2766.912038,447,10.944576
-2879.623819,439,11.378629
-2587.049596,438,11.81457
-2038.977768,436,12.239523
-2925.133361,456,12.681026
-2376.908939,409,13.084312
-2110.042818,439,13.511623
-1763.064746,302,13.840005
-2282.887434,365,14.219632
-2806.917501,458,14.66676
-2027.053532,388,15.05663
-2005.534083,403,15.457596
-3082.471716,662,16.06248
-2340.71798,419,16.484078
-2023.318818,373,16.867577
-2348.798213,372,17.578677
-1884.858634,314,17.915202
-2012.279893,264,18.216759
-2654.69462,338,18.5706
-2298.135424,301,18.894453
-1856.551782,322,19.225242
-1919.286105,307,19.552422
-2244.882937,470,20.010631
-2628.536536,466,20.464815
-3755.497968,667,21.06317
-2265.415915,409,21.476901
-2684.246392,437,21.911784
-3248.15798,554,22.428367
-2256.992415,333,22.776423
-3495.585143,1132,23.773123
-2409.995744,670,24.396317
-2912.932884,470,24.852492
-2228.604473,303,25.175286
-3855.791952,745,25.846337
-2554.751441,502,26.312216
-1929.639731,288,26.626992
-3195.177719,661,27.241141
-1785.540767,345,27.60015
-1350.320947,314,27.932581
-2512.142625,366,28.308469
-2501.135556,423,28.728984
-1425.169147,286,29.039999
-1970.600997,293,29.364409
-2302.866789,395,29.762887
-1846.244962,332,30.102977
-2348.424545,335,30.451932
-2194.902079,326,30.795671
-1570.131562,246,31.076749
-2909.090961,656,31.685008
-2795.521348,453,32.135658
-2025.35788,291,32.447948
-2104.891272,396,32.848998
-2278.57924,360,33.211954
-1878.968178,328,33.555913
-3135.180867,743,34.56331
-1984.365274,351,34.930557
-2056.522671,330,35.279115
-1471.286611,305,35.611458
-2296.241766,373,35.984528
-2076.463078,348,36.349658
-1658.01346,335,36.7004
-1880.672004,286,37.012464
-1847.483292,268,37.318887
-2797.080202,429,37.751937
-1570.526586,271,38.048765
