#{"t_start": 1696523650.5386095, "env_id": "plainCPGEnv-v1"}
r,l,t
-2143.248429,590,1.488112
-2081.62964,580,2.068877
-2534.045159,845,2.77857
-2573.522992,1694,4.136923
-2185.402988,713,4.755208
-2801.173648,2138,6.455937
-1966.015861,466,6.894961
-2129.468881,606,7.434065
-2610.06775,797,8.125376
-2198.464022,353,8.461917
-2306.710094,822,9.169567
-2664.3059,2522,11.195466
-2352.068784,834,11.980946
-2418.471083,566,12.502015
-2417.929117,551,13.006246
-2118.004534,555,13.501202
-3170.454943,2396,15.816733
-2313.334434,761,16.644127
-2484.173076,1809,18.184099
-2477.88111,1031,19.052882
-1957.06101,428,19.453848
-2212.595324,335,19.780153
-2196.553336,761,20.44167
-922.07336,392,20.828159
-2330.892306,934,21.605525
-2316.842296,460,22.038084
-1928.450027,751,22.701533
-2883.337387,3151,25.166107
-2408.408608,2496,27.143213
-2207.328325,1642,28.467614
-2320.640611,472,28.898303
-1792.328206,488,29.693545
-2761.404264,2382,31.581074
-802.765039,511,32.054838
-2751.213517,881,32.803268
-2234.973062,506,33.278029
-2515.108363,1517,34.516997
-2351.147177,602,35.05246
-2359.444737,2051,36.696792
-2481.407738,2350,38.578326
-2135.097611,747,39.250753
-1853.778973,846,39.999303
-2604.005623,1629,41.326617
-2127.813845,629,41.887132
-3274.421797,4635,45.800372
-661.098319,1750,47.21939
-2570.150157,1698,48.583794
-2127.615528,1478,49.787868
629.273078,1966,51.358563
-2262.759698,1301,52.436778
-2391.870592,1872,53.949764
-2310.579045,448,54.371626
-2212.069603,1205,55.383023
-1465.010459,4542,59.254253
-2690.59129,1678,60.616407
-2896.106516,2092,62.294182
-1916.122006,700,62.916606
-2211.89524,728,63.556942
-765.851259,1229,64.565231
-2901.71007,1852,66.062805
-1050.929079,5001,69.913354
-2516.168634,1007,71.122346
-2144.236489,392,71.507691
127.959174,1966,73.075768
-1329.131816,1069,73.970231
-2314.098181,742,74.60891
-2427.428651,1491,75.829678
-1730.91318,4112,79.0501
-650.885131,1320,80.124862
-2176.682288,822,80.83547
-2490.722733,1288,81.897464
7299.217697,4152,85.472326
-1813.849708,2749,87.637663
632.263366,822,88.335059
-2847.125091,1591,89.619744
1320.991425,1009,90.457326
247.903522,854,91.18126
-1493.227879,467,91.619212
2576.671969,1775,93.054689
2651.058007,2367,94.913565
8490.274587,5001,99.153078
1255.661429,2637,101.239757
-931.019671,756,101.889418
433.226843,2465,103.852269
5874.01252,3070,106.258003
1150.321788,1128,107.189697
-76.521184,1344,108.31006
-2215.203118,491,108.766898
3471.667066,2302,110.598856
1157.520886,1381,112.086056
9281.72871,5001,115.958408
1048.698071,1737,117.368948
1930.682836,2846,119.61029
4698.664527,5001,123.4765
1323.181422,2327,125.685899
19903.063188,4538,129.194899
1111.244945,1691,130.568087
14836.258454,4512,134.065205
20259.227505,4520,137.918731
-838.899974,3142,140.398508
10297.734965,3924,143.463125
1573.044941,2346,145.318476
5526.493166,2044,146.938359
13686.174173,4498,150.800013
22452.30841,3578,153.600196
21978.321703,3554,156.367352
20605.420471,3837,159.337255
20253.845769,4747,163.008896
22623.811463,3340,165.985039
22374.994211,3427,168.661167
22337.916086,3606,171.477237
23054.330876,3643,174.319312
9981.973821,2829,176.855449
22799.20182,3737,179.792721
23938.313664,3665,182.688807
23076.807632,3356,185.338824
22139.570432,4057,188.516501
23074.716406,3544,191.63996
23086.220113,3539,194.430401
23400.840256,3708,197.345532
20528.683753,4774,201.088032
22843.024064,4149,204.692297
24065.340048,3520,207.501071
24131.012915,3626,210.39113
22956.433379,3548,213.200172
24159.9523,3516,215.9999
23924.907175,3965,219.487113
24205.476351,3508,222.272038
-621.864049,537,222.766585
23957.066833,3739,225.723185
-461.008079,957,226.533681
23063.223475,4269,230.237694
23715.653015,3922,233.327034
22815.38878,3937,236.411643
22383.673346,4446,239.900096
23947.324606,3643,242.765454
23802.055108,3529,245.893976
23499.815965,3616,248.744154
23748.019547,3437,251.484584
-719.045043,617,252.040346
24200.917398,3501,254.836722
23830.555486,3310,257.798081
8054.847656,1911,259.339616
24054.158908,3445,262.094767
24184.025414,3413,264.822887
23934.107611,3448,267.564022
22658.013481,3950,271.005562
23858.872108,3414,273.713962
6505.156139,1850,275.205467
23361.391987,4048,278.394393
