#{"t_start": 1698256707.7828605, "env_id": "plainCPGEnv-v2"}
r,l,t
-1228.370783,369,1.400091
-522.294142,661,2.026543
-2041.074077,837,2.747976
478.794348,672,3.354482
1015.132975,1262,4.427227
-1757.28833,682,5.127158
-3653.883747,864,5.926311
-3196.436757,774,6.652322
-3206.857133,795,7.395325
-2562.268806,859,8.164425
-1218.570526,413,8.588077
-2560.373638,745,9.333854
-3012.19184,903,10.232641
-1470.038617,545,10.795436
-2214.892139,691,11.47665
-2184.993531,797,12.185681
-1072.455544,467,12.622883
4723.068841,1722,14.035199
-1690.736027,576,14.582729
4313.354105,1918,16.52414
-2487.840421,645,17.118005
-441.024339,741,17.767365
-1961.264564,740,18.440119
-1067.472108,833,19.192439
-2487.435139,660,19.799682
-1805.588922,683,20.428238
-2523.705101,1155,21.420602
-1204.275505,1089,22.332923
-915.266074,683,22.941838
-1401.788987,624,23.505184
-1762.512991,454,23.94461
-2036.501733,675,24.571274
-1514.101394,784,25.268052
-2866.779051,629,25.840193
-2087.10413,640,26.424357
-1897.078756,558,26.938948
-3691.791081,683,27.568186
1799.923647,1070,28.498938
2097.288076,1436,29.691206
-2273.174042,495,30.16723
-3692.586428,950,31.344505
-1270.561887,661,31.945007
-2548.233938,1204,32.980079
619.207935,889,33.769738
-2201.443622,845,34.545192
-1926.992758,635,35.151575
-1481.136757,958,35.998533
-2255.998681,1239,37.040317
-921.584725,513,37.528054
-2036.770795,646,38.10576
-1871.148149,940,38.926444
-1027.487194,981,39.775576
-1856.179504,670,40.391974
-1172.428007,707,41.016707
-1104.124116,483,41.478924
-2503.642258,551,41.991951
-2459.34034,441,42.425214
-2675.040496,974,43.276492
-2557.875006,711,43.929374
-1261.978931,747,44.586948
-1052.688232,1120,45.545721
-1343.258431,996,46.751662
-1617.02916,566,47.289926
-2955.775765,1169,48.300227
-1700.998099,664,48.921299
-1432.278629,400,49.323858
-3212.574491,914,50.140985
-2078.768484,397,50.542655
-2656.228155,724,51.206543
-3305.42955,1012,52.080172
-1599.76728,753,52.745148
-2586.656842,794,53.45974
-1500.829072,471,53.924343
-2793.782871,1011,54.798226
-3295.515917,891,55.576851
-959.191392,487,56.041686
-2316.34445,473,56.501663
-2249.341222,582,57.037057
1940.68752,1016,57.909094
-744.31802,543,58.425781
-2722.917185,893,59.228133
-2077.807966,481,59.703984
-1350.710151,527,60.206693
-3715.709043,882,60.99715
-3500.596566,702,61.97089
-1136.973434,568,62.52513
-2814.916049,1074,63.459384
-1864.665892,952,64.282615
-3098.164143,839,65.019823
-786.080885,597,65.579446
-1614.742413,514,66.067368
-1860.073842,523,66.559561
-1761.222795,353,66.933926
-3187.003044,732,67.593231
-2171.694103,693,68.220541
-732.688226,544,68.730753
-1929.024836,1654,70.123356
-1492.864602,511,70.623367
-451.364809,598,71.176961
-1504.322131,1157,72.17293
-753.260233,496,72.66155
-1459.185264,852,73.410472
-2546.530105,865,74.172815
-1822.944133,923,74.982403
-188.66401,648,75.55051
-2308.429345,462,75.995007
-1620.017444,674,76.969107
-1988.351992,378,77.355196
-2853.798692,624,77.935705
-1053.508409,605,78.503415
-1732.375018,558,79.033487
-3166.207428,1882,80.587846
