#{"t_start": 1698242967.6601105, "env_id": "plainCPGEnv-v2"}
r,l,t
-1681.419173,714,1.611785
-1556.264657,637,2.211179
-1061.285363,468,2.644229
-3131.548739,825,3.369215
-2043.071053,466,3.843075
-1761.067165,364,4.23972
-107.804758,540,4.758162
-3347.794303,802,5.534048
-1867.85292,619,6.188956
-3379.275211,580,6.787735
-2160.875711,1405,8.082823
-1434.861742,905,8.956663
-1130.251517,1448,10.159244
-2468.922159,884,10.930721
-2442.083699,681,11.548424
-2142.076185,1432,12.743082
-2866.999723,600,13.309191
-3088.775623,870,14.061241
-1581.844986,708,14.697335
-3613.213969,566,15.207436
-2298.593929,874,16.300306
-1953.338107,723,16.949924
-2314.047096,1069,17.868544
-2624.575422,998,18.732712
-624.449597,449,19.16185
-1747.708264,634,19.747849
-3036.488291,686,20.370389
-1734.810576,806,21.091437
-1576.406031,706,21.734123
-2243.434067,1428,22.925296
-2136.229687,827,23.664218
-2166.417726,732,24.319585
-1473.558563,549,24.83453
-2936.384689,590,25.384547
-1199.092112,438,25.808273
-1105.042791,563,26.328453
-2916.831708,660,26.942341
-1195.527488,368,27.311516
-1123.036628,811,28.033872
-35.051012,826,28.75527
-2044.6029,540,29.259579
-1760.63395,946,30.071251
-571.405167,552,30.582347
-1049.177407,652,31.508338
-1653.16975,364,31.882234
-1489.616505,545,32.402559
-2123.763187,818,33.123693
-1926.191476,770,33.817403
-3038.42715,586,34.365538
1407.759843,867,35.122051
3519.603177,1087,36.051303
-3654.193235,907,36.855312
-1943.960435,898,37.64102
511.13217,1240,38.68799
-2112.915421,671,39.310292
-2021.627186,544,39.842205
-686.160974,1435,41.224687
-3745.957102,897,42.049621
-3342.532829,790,42.810887
-1665.693069,681,43.514793
-2323.761283,683,44.192498
-782.220705,1248,45.312474
-2121.740357,715,46.009014
-3162.377132,795,47.102521
-1991.413393,1255,48.214586
-3573.340228,896,48.99862
-964.12382,675,49.623295
-1286.223343,1177,50.638637
-1807.976354,580,51.173233
-1013.696377,429,51.616795
-2958.401944,556,52.163268
-2007.551033,754,52.848544
-2268.433764,578,53.403515
-415.676058,741,54.061178
-1123.225628,334,54.42681
-18.567892,1183,55.449824
-259.21761,1494,56.78559
-1853.214132,408,57.255407
-2192.249708,540,57.841161
-2042.485093,675,58.518974
-1196.37926,719,59.189687
-1367.567804,696,59.834469
-1475.863712,424,60.274781
-2117.717144,1316,61.541237
-2339.229181,560,62.137053
-1678.244706,845,63.343446
-1624.790703,348,63.710838
-1541.201953,702,64.358399
-910.000104,1859,66.064754
1078.583639,1369,67.224332
67.661716,768,67.908163
-2631.803396,1161,68.940682
-3319.298178,760,69.628683
-3059.911634,793,70.345267
-942.950318,1053,71.264355
-3290.820334,813,71.981162
-2707.865147,840,72.735855
-2185.53098,599,73.28317
-3384.856882,1098,74.233121
-3381.763957,811,74.930895
-1818.087846,406,75.344322
-2242.648363,1025,76.216983
-2550.481735,785,76.916617
245.572346,558,77.80194
-1250.534653,603,78.363772
-1227.48504,918,79.176747
-2124.819672,683,79.806803
-1764.547618,741,80.483868
-2736.709196,880,81.269185
-511.38038,423,81.682824
-1463.613197,541,82.217924
-446.094172,1086,83.167442
-2303.178782,791,83.87984
-3610.772496,1712,85.295345
-1367.204265,326,85.674229
-2959.620753,739,86.340646
-1133.36395,1445,87.528434
-3647.80989,1245,88.620225
117.098794,1193,89.639933
-1325.651702,667,90.249167
-3223.927015,949,91.074815
-2362.515803,462,91.521512
-2057.591852,723,92.170807
-870.981863,534,92.993869
-1753.548414,743,93.655751
-2928.327038,1030,94.607114
-2697.426538,1074,95.534573
-1667.617635,411,95.958663
-2147.053387,784,96.66405
-2445.551761,601,97.242979
-1164.379031,509,97.74575
-3380.927045,989,98.631572
-2592.01813,646,99.22071
-2279.395714,589,99.803024
-514.496552,266,100.124291
21977.81887,3012,102.65387
-2781.015391,833,103.444588
-1343.165915,296,103.776712
-3525.295115,769,104.583548
3992.340271,1300,105.751241
-1486.348804,470,106.244154
-2261.886765,764,106.967532
-2565.56316,652,107.549311
-1358.468707,592,108.500727
-2326.798767,1056,109.388706
-1558.835356,738,110.038772
-3430.668219,697,110.647087
-3748.615686,896,111.422381
-965.360245,520,111.909554
-3591.019301,853,112.639721
-2043.720602,590,113.201248
-2913.863754,640,113.792208
-1607.535548,479,114.300049
-2730.359761,1452,115.617881
-2239.374375,641,116.332306
-969.706815,593,116.922625
-1617.127501,692,117.611148
-1333.641827,1403,118.825722
-2783.213215,1447,120.147893
1108.184207,859,120.949398
-681.569271,569,121.521719
-3072.840525,756,122.220708
-700.667662,443,122.654069
-2150.536103,654,123.247501
-2062.833414,538,124.097779
-1153.525174,614,124.663733
-3063.012892,692,125.307319
-2564.805509,653,125.903828
-2834.017033,836,126.628217
146.585221,562,127.157858
-1102.207512,693,127.785306
-2338.966216,569,128.310726
131.471293,920,129.110183
-1961.428639,698,129.748595
-3332.371072,718,130.392466
