#{"t_start": 1698462906.3798597, "env_id": "plainCPGEnv-v2"}
r,l,t
756.299092,901,1.832208
341.081888,357,2.24277
562.5,375,2.642075
642.0,428,3.083102
-45.395166,375,3.507022
-269.102319,699,4.169603
1115.505071,808,4.901306
-180.980936,899,5.700491
741.0,494,6.172939
-16.092639,643,6.77386
-80.628953,720,7.423657
1420.5,947,8.253578
1063.5,709,8.884054
750.0,500,9.360748
829.5,553,9.881469
-651.742047,1101,10.814592
1037.080569,710,11.457302
610.822821,671,12.083368
1035.0,690,12.726203
679.5,453,13.164335
-65.254886,600,13.739486
750.446608,557,14.262776
1111.857679,1055,15.186381
1315.493625,1037,16.068657
902.462334,624,16.970592
371.729549,605,17.53408
1715.688462,1562,18.853911
421.404382,688,19.466024
794.303709,944,20.304461
507.0,338,20.650201
768.22463,587,21.201827
-283.053694,786,21.917035
1257.0,838,22.656131
589.492758,701,23.289143
1059.0,706,23.927238
-32.763533,354,24.297909
-132.343577,1009,25.178861
81.659533,581,25.720066
-527.78065,957,26.548478
1498.5,999,27.401447
1011.0,674,28.011821
836.398218,730,28.682868
86.422838,1151,29.681765
1534.5,1023,30.568722
220.816655,794,31.60597
187.346205,607,32.180055
-673.762557,1283,33.25741
-157.447714,385,33.675293
2209.5,1473,34.907353
157.741464,597,35.457372
575.636286,558,35.98178
795.0,530,36.489941
266.172574,416,36.910238
535.5,357,37.266197
-320.350804,865,38.043674
-22.793024,908,38.853164
753.856455,815,39.581591
212.704197,1062,40.50009
1032.0,688,41.125824
1259.344908,1157,42.109677
79.226877,490,42.59598
727.5,485,43.051413
-686.016521,1394,44.240714
1053.0,702,44.881279
347.200902,681,45.50752
898.5,599,46.056516
112.993075,682,47.008615
712.5,475,47.461602
198.753488,439,47.899601
-67.695623,723,48.561542
190.557278,656,49.160607
-191.4628,687,49.799098
1635.0,1090,50.74823
1552.5,1035,51.652819
99.992234,484,52.119195
901.5,601,52.674477
964.5,643,53.257736
446.001014,341,53.619789
741.640067,1374,54.796612
350.375018,728,55.463356
-32.137595,671,56.064997
-5.50095,634,56.637297
364.103477,422,57.048578
280.544402,330,57.400758
374.509319,537,57.909082
-109.204128,781,58.604614
506.967193,367,58.98078
1881.0,1254,60.04691
-185.956027,1207,61.107573
553.5,369,61.478378
241.927238,691,62.426526
634.78879,835,63.167334
538.27236,544,63.685788
59.113641,775,64.383144
853.5,569,64.911816
461.905288,501,65.396026
316.570169,486,65.86789
642.855374,578,66.41401
155.994165,727,67.089314
207.135757,570,67.625168
-91.945296,807,68.341012
234.661838,764,69.022763
170.712162,595,69.579107
787.5,525,70.071883
1098.0,732,70.716605
791.365376,708,71.350531
1303.5,869,72.112005
73.712826,789,72.813622
777.0,518,73.303443
1269.0,846,74.047324
216.742309,637,74.627044
171.576605,455,75.066774
288.566509,559,75.57718
922.5,615,76.151715
389.254158,565,76.689749
4.142138,720,77.663054
-71.14765,678,78.297059
1968.0,1312,79.413932
512.042616,937,80.230811
997.400481,909,81.028818
290.887527,1298,82.129258
3169.5,2113,83.86852
994.066382,1175,84.870419
1176.495164,1247,85.933557
817.5,545,86.436281
150.492096,807,87.154054
-103.24083,803,87.8627
95.226374,695,88.503994
1213.5,809,89.218699
185.924909,528,89.718907
832.5,555,90.256098
-73.929472,661,90.856409
325.306781,725,91.51107
919.683048,663,92.444646
717.0,478,92.902257
156.801356,376,93.287946
2177.627805,1590,94.628024
646.552322,524,95.132043
3304.5,2203,96.922765
-72.799965,650,97.530033
396.346581,878,98.31831
772.5,515,98.81372
460.494683,811,99.524227
-121.311216,868,100.313814
1131.0,754,101.006215
1456.5,971,101.864439
2026.5,1351,103.030153
224.825622,871,103.800349
296.836721,453,104.249068
894.0,596,104.804394
943.54857,1076,105.756922
649.765865,925,106.898235
19.960111,673,107.51001
-69.308712,1018,108.397632
-144.137957,658,109.010123
309.761475,729,109.680634
99.301968,387,110.076874
299.88636,586,110.630516
703.5,469,111.084241
-41.41267,486,111.562782
274.103776,809,112.306703
-9.040123,572,112.841751
1102.240717,971,113.708793
-180.193226,580,114.262725
847.5,565,114.802136
1180.5,787,115.503345
302.834586,775,116.183343
419.533498,932,117.005699
350.14441,574,117.559368
224.027848,354,117.928328
664.223927,482,118.397796
883.5,589,118.955366
394.107645,516,119.453402
729.0,486,119.931291
1222.5,815,120.664153
