#{"t_start": 1698501860.5060897, "env_id": "plainCPGEnv-v2"}
r,l,t
-3604.941586,735,1.619333
-922.011553,715,2.286721
-2992.707189,1745,3.76813
-2792.340308,699,4.41608
-3147.334761,1449,5.61254
-240.545077,573,6.14443
-2619.394194,844,6.896703
-1574.499833,416,7.315674
-1445.922967,747,7.974252
-1275.394857,624,8.562967
-939.412824,417,8.986197
-1319.286368,390,9.380531
473.558503,773,10.072562
-892.332501,1956,11.694443
-3947.05662,962,12.519773
-1490.604437,559,13.039552
-410.542226,698,13.67193
-2554.668925,598,14.243782
-2656.800082,735,14.90368
-2015.936938,571,15.437716
-1318.378461,1108,16.717782
-194.765697,578,17.250644
3204.35909,1613,18.589995
-2647.279642,635,19.182609
-1181.503539,565,19.707964
-437.823502,493,20.171818
442.971198,1352,21.304344
-1583.245798,424,21.723298
-1902.600889,365,22.101352
-1729.177394,1752,23.568264
-1008.804013,514,24.067053
-2948.526384,719,24.724199
-861.145195,679,25.334271
-2494.566923,531,25.838003
-3202.000207,559,26.35593
1797.48734,755,27.039418
-1993.024359,977,27.876991
-2378.349403,723,28.536969
-3690.551703,1650,29.915972
-2635.60392,553,30.455298
-779.349311,581,31.331507
-3594.834957,817,32.055791
-912.949036,895,32.840959
-3533.65242,1179,33.853961
-2361.652874,948,34.761384
-1641.423365,520,35.321358
-1890.893301,465,35.834148
4069.726109,1308,37.01059
-1685.56415,479,37.469164
-3598.073824,874,38.219391
-2316.263712,629,38.799906
-2983.725328,782,39.48293
-3769.000002,817,40.206537
-259.157305,510,40.686414
-2062.491251,572,41.218823
877.62091,1477,42.430084
-3725.708696,842,43.152747
-1822.532571,719,43.789321
-3900.629889,1598,45.132408
-3235.922265,1093,46.40663
-717.831394,681,47.014484
-3870.959523,1156,48.016774
-4244.913831,1037,48.905819
-4136.033731,996,49.791369
-2081.762876,669,50.400283
-3133.637388,693,51.031357
-2415.989614,1049,51.920541
-3987.287128,675,52.528642
-3756.878939,1005,53.398518
-2598.236316,1273,54.480346
-2833.22218,847,55.244689
-1037.833813,807,55.958587
-4053.662488,1318,57.076027
-1181.213271,554,57.582836
-669.476031,859,58.33326
-1706.323258,535,58.836128
-4122.133184,1024,59.701712
-3780.136693,1122,61.026333
-2820.75675,1334,62.255195
-3068.837344,825,63.030107
-1664.367939,407,63.459728
-880.209472,635,64.064981
-1129.430456,955,64.899914
-1593.533519,708,65.561392
-2834.597458,741,66.235375
-1713.334083,634,66.822447
-1436.78238,362,67.20136
-2306.479334,1114,68.14407
-3833.877356,984,69.010178
