#{"t_start": 1693446608.9384124, "env_id": "plainQuadruped-v0"}
r,l,t
-129.090686,418,4.827012
-165.164968,405,7.142867
-147.844926,462,9.675521
-161.875694,511,12.226208
-28373.029165,713,15.152864
-35430.382555,593,17.878806
-169.287959,577,20.563131
-215.439652,651,24.533485
-146.010611,324,26.702453
-245.789995,360,28.928473
-26315.940743,945,32.483099
-272.96656,1007,36.07239
-211.526202,559,38.795486
-122.513864,351,41.062982
-20323.147762,792,45.152207
-175.857047,981,48.870455
-208.449509,762,51.996031
-166.353879,708,54.998072
-230.832106,534,57.592706
-14248.159788,558,60.200846
-27280.929987,905,64.697961
-12162.468592,860,68.308706
-181.030782,657,71.180422
-3359.419207,817,74.406506
-14295.950697,448,76.877619
-208.447062,784,81.108092
-126.246237,463,83.628194
-1205.849578,599,86.368322
-178.508257,420,88.712669
-177.662166,657,91.524342
-174.640718,527,94.08963
-177.443491,428,96.455302
-16372.815538,746,100.534661
-1142.052989,581,103.161484
-12219.799356,633,105.932695
-48419.061272,692,108.882182
-11213.936979,465,111.385923
-210.180588,819,114.61185
-3177.496032,723,117.61271
-14215.490061,1138,122.736721
-109.350172,603,125.506695
-7147.060924,938,129.166893
-108.851433,678,132.015707
-6227.036104,828,135.208604
-206.67864,567,138.750028
-2162.884625,591,141.521
-2104.601282,533,144.163939
-136.823648,649,146.94246
-4165.621777,930,150.374466
-128.842384,608,153.192644
-114.952802,787,157.487334
-237.039924,692,160.37862
-156.044646,663,163.179789
-1099.680061,754,166.195976
-117.964653,648,169.080028
-4142.172488,538,171.81068
-139.600736,781,175.944607
-4146.603854,373,178.177753
-7179.661607,462,180.62007
-8125.17546,582,183.274228
-28319.59108,472,185.838272
-327.742055,572,188.493954
-115.393273,570,191.107325
-131.754854,531,193.62633
-2130.392299,781,197.887112
-3079.478079,556,200.660005
-90.880271,609,203.506513
-209.577252,1534,208.257601
-20170.344696,506,210.776811
-100.681136,389,214.178221
-141.480039,350,216.485148
-1201.794709,489,219.075853
-99.652694,478,221.734048
-96.499541,602,224.619181
-123.536232,514,227.115446
-3195.031942,691,230.003477
-2121.147378,493,232.539778
-175.822207,707,236.723537
-129.176856,509,239.312255
-2120.412674,397,241.575651
-25.802722,684,244.442232
-226.811571,545,247.024575
-2090.980025,582,249.808472
-2117.388749,517,252.342766
-13.821413,571,255.950039
-199.018213,359,258.182042
-137.362462,634,260.961565
-97.961229,372,263.251245
-14162.317475,499,265.82139
-46.58051,544,268.448134
-125.947116,341,270.796718
-16182.26569,432,273.170918
-128.799664,607,276.037474
-11182.484777,474,280.085238
-182.22813,339,282.458799
-2170.532568,560,285.399342
-136.704048,642,288.369087
-128.631374,427,290.956645
-185.712059,390,293.356953
2112.140861,1022,297.120928
-81.211394,492,300.765532
-81.786783,469,303.281682
-86.62915,414,305.781646
-190.321576,459,308.380313
-35.299095,690,311.442828
-98.098995,649,314.281164
-254.399082,481,316.775089
-191.31996,311,318.881935
-73.164117,678,323.046952
-71.444547,639,325.920378
-223.041103,236,327.93603
-220.654337,263,329.955863
-188.338317,294,332.052154
-246.793248,318,334.205074
-291.948691,226,336.192626
-10332.512909,253,338.24088
-2229.241342,280,340.264302
-4123.38849,472,342.836116
-8385.480535,469,345.464861
-3107.782335,517,349.146096
-2122.609212,616,351.999308
-112.283862,537,354.636691
-56.26529,555,357.324461
-248.579146,310,359.429088
-62.360553,557,362.156564
-3236.086631,649,364.998724
-2065.442992,603,368.078719
-38.573931,555,372.053941
-161.333601,322,374.241131
-338.619644,562,376.968656
-7329.268251,506,379.507981
-281.35697,355,381.709094
-249.688698,613,384.447542
-2095.313301,565,387.153971
-105.205418,733,390.179955
-48.668696,590,393.923462
-218.056148,778,396.999253
-263.465242,406,399.336031
-158.662798,289,401.516939
-10381.242656,311,403.611743
-5190.030053,466,406.071871
-81.916096,435,408.397982
-17.469816,670,411.228848
-245.670507,626,414.997698
-194.283979,619,417.778958
-9302.491198,453,420.264099
-145.354845,496,422.792592
-81.235787,413,425.12432
-171.48486,485,427.845064
-103.965525,482,430.313354
-5330.851107,599,432.989982
3854.64022,1492,438.798833
-56.640086,478,441.256085
-34.844007,646,443.948837
-78.657358,596,446.658872
-124.575797,462,449.042609
-171.967585,755,453.078246
-42.674712,652,455.964189
