#{"t_start": 1696467849.6332111, "env_id": "plainCPGEnv-v0"}
r,l,t
-1934.753617,559,1.481654
-2135.394491,532,1.987773
-2233.479934,752,2.660326
-1852.727199,595,3.196957
-2170.485513,524,3.691612
-2267.601497,1354,4.818244
-2198.299693,892,5.610401
-2226.347662,397,5.996323
-1540.978887,955,6.89376
-2375.232771,742,7.575327
-2243.553144,414,7.980824
-2128.221067,853,8.734323
-2233.288888,969,9.568435
-2322.584591,468,10.02054
-2591.902337,1653,11.369346
-2154.380258,390,11.758382
-1878.523277,468,12.201516
-2084.893994,1840,13.675024
-2138.701544,863,14.463864
-2244.065306,309,14.823583
-2314.241857,1514,16.424914
-738.056039,484,16.89346
-2085.347438,419,17.30161
-2497.477436,1854,18.840167
-2341.71042,989,19.688419
-2368.798816,647,20.261785
-2355.984407,657,20.847569
-2165.264553,451,21.281172
-2357.244476,494,21.748616
-2243.882296,702,22.359404
-2253.045718,463,22.791122
-1061.507047,3670,25.67521
-2662.206628,1217,26.706262
-2268.754279,1091,27.643417
-2159.572963,764,28.318444
-1483.258,471,28.779438
-2430.076995,1804,30.606832
-2297.839065,1398,31.789835
-2254.972055,390,32.175091
-2255.383515,550,32.673297
-1821.306236,626,33.245227
-1790.393613,788,33.934319
-2029.528899,752,34.598433
-89.022441,831,35.330009
-1940.913302,507,35.802169
-2313.611395,537,36.314515
-2517.775195,1687,37.701838
-2015.350369,520,38.191843
-1731.542612,913,38.958628
-951.328459,467,39.40109
-2196.705262,959,40.233007
-2315.157476,918,41.018144
-2425.724644,778,41.706578
-2375.911396,1017,42.567706
-2282.023899,951,43.365829
-2563.329516,845,44.09141
-2312.508407,834,45.162333
-1071.18973,350,45.517916
-1713.476025,459,45.975994
-2295.904337,440,46.402489
-2064.278289,1100,47.328083
-1204.968711,918,48.116893
-1340.874746,501,48.577416
-2049.811126,300,48.888261
-2091.386604,530,49.381184
-2239.407949,881,50.147756
-1375.657107,409,50.547783
-1991.33013,349,50.893402
-2251.91705,600,51.43427
-2374.353119,602,51.980392
-1975.591128,617,52.538306
-2123.793474,403,52.929254
-2212.799193,836,53.650406
-1064.670974,349,54.008123
-2260.436051,662,54.606516
-1710.45624,422,55.024819
-2256.871052,300,55.342374
-2479.812118,1703,56.761469
-2046.493637,540,57.281647
-2229.575505,820,58.006934
-1569.400635,491,58.467157
-2472.396842,847,59.19303
-2179.499703,321,59.515417
