#{"t_start": 1696357498.954466, "env_id": "plainCPGEnv-v0"}
r,l,t
-2062.787585,597,1.430583
-2093.309318,662,2.033079
-2166.1641,670,2.626594
-2389.994541,890,3.376365
-1967.291463,729,4.006153
-2219.887485,573,4.672997
-2480.274725,960,5.480263
-2405.609828,628,6.051577
-2381.353145,621,6.617795
-2183.808178,557,7.170934
-2241.09193,823,7.913083
-2223.415377,645,8.644798
-2331.235378,668,9.245056
-2047.353397,583,9.781389
-2279.953946,803,10.485254
-2304.827071,702,11.11343
-2141.987693,657,11.755439
-2269.517325,459,12.204454
-2332.712536,736,13.00398
-986.722807,1199,14.033633
-2412.06517,583,14.599464
-2447.792754,937,15.401447
-1888.094855,798,16.231745
-2122.383272,608,16.783215
-2391.228262,561,17.315677
-2494.590528,1810,18.75841
-2554.546841,1204,19.907471
-2070.006774,521,20.385916
-2068.715476,495,20.844501
-2069.866763,686,21.456231
-2404.194555,1154,22.410122
-2327.492622,876,23.141192
-2395.078136,865,24.034573
-2550.401447,2134,25.724844
-2337.301806,751,26.358886
-1337.860728,454,26.786858
-2255.017136,704,27.55765
-2170.265158,577,28.086222
-2421.90681,620,28.648944
-2133.443167,832,29.372124
-2880.209688,1852,31.009485
-2170.650968,569,31.533554
-1857.55822,446,31.961239
-2132.73176,511,32.435732
-2300.800811,1244,33.469817
-1458.385523,798,34.161751
-2342.64923,485,34.758502
-2442.683825,974,35.586738
-1741.439042,842,36.318601
-3205.872345,3577,39.249834
-2940.64,2539,41.398611
3697.829934,5001,45.390022
-1933.156803,1169,46.36631
-1565.374653,4895,50.322807
2582.67642,1432,51.634001
-1688.336745,2651,53.727692
-1114.418601,1381,55.004875
3467.392912,2135,56.750193
687.717973,1459,58.06284
2432.429865,2519,60.343151
23133.064316,5001,64.438581
23186.339476,4518,68.130033
22927.932342,5001,72.560548
22380.709495,5001,76.623359
20523.180239,5001,80.696994
16561.115814,5001,84.88906
12786.430525,5001,89.052161
14296.510437,5001,93.500952
20443.684139,5001,97.595185
14672.006909,4126,100.987313
16371.361342,5001,105.033664
14423.470484,5001,109.10957
9549.249745,3772,112.199856
1043.236371,1019,113.267356
4222.29419,2276,115.274807
1490.182239,1484,116.642013
723.77587,1209,117.957209
4967.560869,2397,120.195393
7525.129307,3768,123.661997
12388.184626,5001,127.895562
-11.366879,1300,129.25563
124.76582,1005,130.21395
3865.50679,2342,132.367137
731.534431,1361,133.55595
10921.039559,5001,137.828157
2948.228916,2686,140.287
-345.412181,740,140.968303
9730.278858,5001,145.198716
9623.532121,5001,149.427982
9956.470731,5001,153.902372
11719.292508,5001,158.136695
10602.254234,5001,162.377568
11453.598702,5001,166.677015
10124.336032,5001,171.081031
12307.356982,5001,175.26643
11742.256747,5001,179.531337
13906.27295,5001,183.855748
14600.582872,5001,188.167591
15326.550206,5001,192.64607
18122.331248,5001,196.907168
12754.190928,4740,200.944486
15066.296348,5001,205.226839
19642.908164,5001,209.435258
20757.161617,5001,213.831354
19395.685856,5001,218.095366
17988.160613,5001,222.295267
20112.623757,5001,226.59225
11360.857671,3378,229.611159
19692.634327,5001,233.973807
17753.7835,5001,238.443956
16642.862264,5001,242.666297
19783.284381,5001,246.970018
16502.987482,5001,251.301578
16481.095932,5001,255.748171
16270.173979,5001,259.978621
17207.225111,5001,264.23853
16766.049098,5001,268.583416
16815.829276,5001,272.835333
16501.697217,5001,277.282544
15525.760767,5001,281.554964
15964.820014,5001,285.842225
17324.995458,5001,290.149119
16562.943727,5001,294.620687
18683.083394,5001,298.914336
18205.958877,5001,303.194502
19309.206435,5001,307.504203
17324.779552,5001,312.199188
17178.310509,5001,316.747659
18909.439076,5001,320.918403
15696.771937,5001,325.129918
17620.775067,5001,329.276453
16951.145244,5001,333.454506
20422.179401,5001,337.865312
16727.196851,5001,342.025186
17887.318996,5001,346.179807
19930.152233,5001,350.350745
19010.247736,5001,354.631169
17398.864231,5001,358.708414
19041.31305,5001,362.820535
18799.908849,5001,366.910295
17078.184728,5001,371.022572
17172.727856,5001,375.271023
17658.492775,5001,379.387214
16786.336028,5001,383.505981
17676.152186,5001,387.556188
17630.248829,5001,391.772389
19143.580687,5001,395.821107
18424.36098,5001,399.89224
17492.038182,5001,403.923752
18057.781628,5001,407.944586
17166.470423,5001,412.111545
16765.409001,5001,416.139358
19469.650273,5001,420.218215
17674.665521,5001,424.269773
19429.513356,5001,428.438787
21039.430726,5001,432.517918
20352.790396,5001,436.601765
20991.402905,5001,440.646811
17835.81943,5001,444.686181
20393.313935,5001,448.989516
18473.753007,5001,453.081395
20528.33145,5001,457.14291
21233.957234,5001,461.232452
20054.812686,5001,465.59117
18925.812706,5001,469.889281
19349.277097,5001,474.078356
19994.777447,5001,478.546957
20196.676193,5001,483.079326
19730.974086,5001,487.401603
17599.187006,5001,491.600895
17648.247131,5001,496.005419
19976.254834,5001,500.344785
20575.310365,5001,504.915706
19763.79153,5001,509.508061
20329.223344,5001,513.839274
18346.494564,5001,518.193516
19907.051652,5001,522.533268
18403.033042,5001,526.921969
20302.015209,5001,530.977383
13732.484401,5001,535.003183
17655.627901,5001,539.237122
18024.773955,5001,543.621569
20200.138454,5001,547.805277
18594.70614,5001,551.886841
21614.044336,5001,555.93806
15863.90962,5001,560.077662
20724.089696,5001,564.3282
20110.203475,5001,568.502767
19413.00383,5001,572.742188
19602.285801,5001,577.100799
19166.224429,5001,581.490299
15949.709189,5001,585.58321
19519.933033,5001,589.679394
20057.326512,5001,593.713085
20245.251207,5001,597.830605
18874.310063,5001,602.152364
18950.345915,5001,606.305547
18350.147853,5001,610.336637
20155.091492,5001,614.368382
19152.012195,5001,618.538451
19271.335861,5001,622.574676
19206.036452,5001,626.632168
17467.906089,5001,630.689932
18669.09527,5001,634.77038
20087.127199,5001,639.006375
17559.468523,5001,643.075918
17204.557844,5001,647.099766
18251.218796,5001,651.108249
18537.026577,5001,655.462186
18601.174249,5001,659.659985
19406.667257,5001,663.842052
19413.503542,5001,668.047062
20162.220118,5001,672.166449
19687.634522,5001,676.476884
21034.191793,5001,680.990214
21984.926212,5001,685.125584
20240.719215,5001,689.181295
21681.257059,5001,693.309163
19310.96945,5001,697.540128
23277.144108,4901,701.56371
18523.115301,5001,705.590478
23466.073063,4599,709.410224
23450.470381,4953,713.459712
23397.830995,4726,717.501356
22779.952789,5001,721.612471
22796.366439,5001,725.716261
22064.599443,5001,729.807565
23551.413901,4647,733.633611
23531.007147,4691,737.849157
23454.942639,4778,742.073729
23482.048729,4918,746.380417
23429.261269,4942,750.682543
23065.827391,5001,754.946503
23315.178619,4948,759.29637
23563.790749,4762,763.284785
23332.505639,4913,767.443904
23339.746094,4866,771.550164
23399.527583,4792,775.596454
23623.307765,4668,779.804672
23586.860025,4494,783.926695
23742.099171,4426,787.802419
23637.788382,4849,791.759665
23785.553853,4465,795.613958
23654.599002,4471,799.648739
23724.357205,4572,803.615306
23765.296434,4551,807.471594
23755.727309,4885,811.512383
23923.892384,4685,815.460369
23822.727137,4683,819.273129
23826.78357,4521,822.942188
23805.164336,4634,826.672062
22257.325852,5001,830.89361
20470.616173,5001,834.938484
23949.25636,4785,838.977603
23961.276264,4765,843.086024
20398.26791,5001,847.161278
24025.305123,4697,850.948046
