#{"t_start": 1696358933.2853916, "env_id": "plainCPGEnv-v0"}
r,l,t
626.046119,1197,2.188828
459.6148,2445,4.566604
-1400.875001,501,5.274597
-1706.589338,551,5.876532
-664.011769,1239,7.109837
-1191.630564,771,7.930609
-1016.178918,873,8.816429
-494.09234,1456,10.405883
-185.330207,1043,11.450739
-219.54419,902,12.402095
-522.512626,940,13.37331
-1154.609829,1114,14.657439
-1317.581217,936,15.644071
1287.110889,2741,18.431552
-861.332106,520,18.987488
-581.751231,533,19.576389
871.137992,1150,20.729075
-623.233663,889,21.622765
-1190.0138,558,22.224108
-156.585544,1052,23.489705
-121.611544,955,24.465495
-756.413063,418,24.934195
-1334.858618,715,25.69186
-990.363059,448,26.21328
-1404.020256,872,27.290496
4054.964025,1888,29.147024
999.335035,1089,30.25006
-1923.727767,1132,31.534541
-1264.870006,506,32.084912
427.085205,938,33.04356
-939.730482,563,33.648492
-1152.247673,512,34.205891
-851.619016,579,34.826147
-506.580327,484,35.348511
-496.639682,481,36.012102
521.550504,1334,37.360161
-1126.985674,529,37.944544
-662.379099,483,38.481068
-855.2665,620,39.156503
-1547.896223,599,39.792982
-1102.831015,547,40.546866
4143.49531,2371,42.824183
-357.117964,826,43.668644
-985.586582,393,44.123715
-686.968043,418,44.733276
-139.295445,875,45.621435
-766.258834,850,46.480363
-136.501793,897,47.397531
-1181.472492,1455,48.974113
-1370.751131,474,49.499336
-886.529236,418,49.975375
-992.701532,483,50.505224
-2560.499027,725,51.289476
-1847.189186,565,51.896865
4179.879256,2069,54.13136
-1448.308142,1027,55.228132
741.552367,774,56.115183
-1482.29052,513,56.664924
-1145.034134,455,57.17117
-1891.134209,530,57.741343
-530.167857,418,58.362521
-950.32595,713,59.118436
-739.211752,450,59.617662
5111.065359,2052,61.634055
-1274.790415,535,62.367907
1277.78757,2476,64.736213
-899.104627,729,65.518607
-332.605144,722,66.284073
311.721405,1483,67.891536
-1498.133432,1069,68.974264
728.069435,1136,70.112122
-672.808069,1013,71.294538
2645.88601,1445,72.723471
-459.359007,842,73.595729
-957.182358,507,74.153716
1896.689704,979,75.290215
4346.17509,3074,78.215902
2514.766225,1550,79.932967
584.083236,1024,81.00544
2607.998174,1124,82.160911
-240.807844,1030,83.208808
1445.626869,1715,85.072366
-379.968204,814,85.92947
3518.652985,1732,87.646502
7067.459751,3212,90.925947
4559.459715,2124,93.140557
378.883543,1313,94.464281
-1218.196024,758,95.269236
1887.874183,979,96.431213
-176.694283,846,97.282487
1915.109875,1054,98.341268
-489.130536,1019,99.387789
478.507117,875,100.301524
1098.763781,1065,101.505842
68.768603,710,102.266721
1336.19372,867,103.174676
-1254.847975,803,104.012354
-567.172533,1004,105.182905
551.749496,691,105.9414
2316.695305,1754,107.658162
-864.966587,814,108.532882
5955.350546,3575,112.208873
-536.08782,1010,113.25577
-540.537825,752,114.211939
-44.441648,831,115.108734
369.680087,849,116.006669
4685.734084,1924,118.011984
530.925903,1445,119.428223
-694.930431,899,120.352128
600.142928,1048,121.424188
-69.493254,1179,122.751034
3096.184818,1103,123.863897
1296.904172,980,124.847065
269.031194,911,125.757689
-44.433755,767,126.720707
-15.657644,658,127.402903
2068.897766,1240,128.59962
-892.203956,751,129.383028
2353.552074,1131,130.512217
1083.850772,826,131.694289
302.275192,1816,133.6693
-578.286306,751,134.46412
-358.049596,769,135.311195
321.207155,651,136.238401
