#{"t_start": 1693885449.5373719, "env_id": "slopeQuadruped-v1"}
r,l,t
114.602662,295,2.631287
120.57339,308,3.398955
204.893252,433,4.397823
193.59909,422,5.398693
159.36525,379,6.322497
118.748034,308,7.16623
189.267107,379,8.342252
108.039306,305,9.149955
171.576607,403,10.171844
232.018606,449,11.545912
138.502001,327,12.518597
113.449146,324,14.137723
87.890553,305,15.018014
176.358858,369,16.034897
170.957954,356,17.087814
193.291519,402,18.281852
185.089921,412,19.4879
156.372103,331,20.527805
112.045357,291,21.471625
135.688898,358,22.565576
128.167122,307,23.350258
204.367058,435,24.5483
184.935927,413,26.110023
107.661317,384,27.1189
181.917765,403,28.213852
201.098871,411,29.389875
209.443027,420,30.570902
184.306433,419,31.800971
193.741658,398,32.898926
115.111698,287,33.727646
122.297825,307,34.613416
283.610562,493,35.986886
80.613315,367,37.036558
202.152873,421,38.659565
192.041972,393,39.735501
102.480593,344,40.740375
145.823747,341,41.761262
214.183204,417,42.941288
124.802621,287,43.799034
204.097959,472,45.158216
121.247138,338,46.116048
153.104756,356,47.131931
196.978838,443,48.391026
216.894788,407,50.056171
188.583912,355,50.99499
240.684177,410,52.07593
103.500362,288,52.950691
200.671389,380,54.05465
180.203367,457,55.309741
265.882797,445,56.575843
316.130701,544,58.087156
184.33997,377,59.159088
134.294069,323,60.096904
212.01312,350,61.088766
143.703582,366,62.654565
189.55382,344,63.595384
168.190008,358,64.614326
186.199425,358,65.626211
190.304814,402,66.791224
201.458986,395,67.896637
253.868978,464,69.213188
179.715378,350,70.206051
243.823375,437,71.40109
70.423238,321,72.342151
88.20828,277,73.202899
165.943938,371,74.742107
188.357062,380,75.788878
198.623717,365,76.824779
222.066682,372,77.86168
152.81023,402,78.96564
175.072151,402,80.124964
127.170219,325,81.112681
166.063633,341,82.103543
215.974753,434,83.265553
124.808495,433,84.440574
21.216133,335,85.458198
186.630839,374,86.787356
269.546544,548,88.078479
91.646758,271,88.797104
84.504788,351,89.75794
177.142415,401,90.754807
150.987049,316,91.647582
189.497757,405,92.765554
225.583977,408,93.786442
138.982913,301,94.557112
254.68571,429,95.52095
59.502645,336,96.288617
155.238755,351,97.581742
152.074031,394,98.574605
91.120401,362,99.552455
253.300825,454,100.731483
226.472197,379,101.837444
203.469439,384,102.931395
154.992566,351,103.954285
146.464256,426,105.175346
189.698257,437,106.371386
143.812968,306,107.266164
192.554056,366,108.91187
136.647757,326,110.005821
220.29109,398,111.184846
231.905405,431,112.430791
-39.499916,184,113.086361
56.90197,342,113.99415
115.734791,284,114.761817
243.463,432,115.918952
75.288195,349,116.913669
206.106105,358,118.001423
271.970766,453,119.277952
210.219633,465,120.538048
195.516789,384,122.039711
178.572433,344,122.931487
250.81191,442,124.14254
184.398802,371,125.191452
221.626591,425,126.210338
163.290928,325,126.986012
129.792277,305,127.74267
106.784156,273,128.44328
177.297537,378,129.406821
113.111785,449,130.677167
241.8426,454,132.137217
204.550861,434,133.106059
142.21159,298,133.860715
139.154569,300,134.603361
155.254159,342,135.507146
-27.417739,178,136.059627
27.424418,325,136.980171
189.409837,450,138.177383
148.595486,387,139.096973
202.773668,354,140.008313
211.589556,451,141.006181
142.344811,349,141.943996
224.781006,472,143.491849
272.110413,455,144.647854
192.213297,440,145.748811
258.521137,497,147.014913
231.559807,429,148.149899
162.393461,375,149.155774
243.871001,479,150.49306
193.611493,410,151.495982
136.332401,350,152.324217
159.302589,374,153.596323
215.77808,427,154.638229
165.599037,366,155.735806
50.613841,305,156.501866
201.618031,408,157.435678
157.946317,338,158.256394
155.713544,331,159.127151
230.568845,460,160.277151
88.616412,351,161.221973
192.094449,401,162.355958
215.045542,416,163.515966
109.717853,370,165.056172
198.95671,437,166.20417
177.64333,342,167.127973
222.321301,433,168.283978
